,Dataset,Cell_type
170,RNASeq-tumor-210609_NovaA_Sample_16,GC-like B cell
171,RNASeq-normal-201227_NovaA_Sample12,Resident Macrophage
172,210514_NovaA_Sample_79,CD8 IEL
173,RNASeq-tumor-210616_NovaA_Sample_39,Proliferating Stromal Cell
174,RNASeq-normal-201214_NovaA_Sample35,CLEC10A+ DC
175,210514_NovaA_Sample_106,Proliferating Stromal Cell
176,210514_NovaA_Sample_103,NK
177,210514_NovaA_Sample_107,Proliferating T cells
178,210514_NovaA_Sample_47,Neutrophils
179,210514_NovaA_Sample_62,MAIT
180,210514_NovaA_Sample_67,B_cell
181,RNASeq-tumor-210615_NovaB_Sample_4,Pericyte
182,RNASeq-tumor-210615_NovaA_Sample_22,CD8 IEL
183,210514_NovaA_Sample_112,Glial Cell
184,210514_NovaA_Sample_10,Memory B cell
185,RNASeq-tumor-210318_NovaB_Sample_9,CD209+ moDC
186,RNASeq-normal-201227_NovaA_Sample2,Memory B cell
187,RNASeq-normal-201214_NovaA_Sample17,CD8 IEL
188,RNASeq-tumor-210615_NovaB_Sample_34,T_cell
189,210514_NovaA_Sample_151,CD4 Tph
190,RNASeq-tumor-210616_NovaA_Sample_61,CD4 Tfh
191,RNASeq-normal-201202_Next_Sample2,MAIT
192,210514_NovaA_Sample_154,Myeloid
193,RNASeq-normal-201214_NovaA_Sample30,CLEC10A+ DC
194,210514_NovaA_Sample_84,Myofibroblast
195,RNASeq-tumor-210609_NovaA_Sample_20,Enterocyte
196,210514_NovaA_Sample_5,Epithelial M Cell
197,210514_NovaA_Sample_52,Blood Endothelial Cell
198,RNASeq-normal-210108-NovaB_Sample15,Resident Macrophage
199,RNASeq-normal-201214_NovaA_Sample7,Plasma Cell
200,RNASeq-tumor-210616_NovaA_Sample_50,Plasma Cell
201,RNASeq-tumor-210318_NovaB_Sample_20,Myofibroblast
202,RNASeq-tumor-210615_NovaB_Sample_18,Enterocyte
203,RNASeq-tumor-210615_NovaB_Sample_5,CD8 Effector
204,RNASeq-tumor-210615_NovaB_Sample_17,Epithelium
205,RNASeq-tumor-210615_NovaA_Sample_26,CD4 SELL naive
206,210514_NovaA_Sample_49,Tuft Cell
207,RNASeq-tumor-210615_NovaB_Sample_1,Proliferating T cells
208,RNASeq-tumor-210318_NovaB_Sample_27,Monocyte Inflammatory
209,210514_NovaA_Sample_65,CD4 TRM
210,210514_NovaA_Sample_9,MAIT
211,210514_NovaA_Sample_99,Neutrophils
212,RNASeq-tumor-210616_NovaA_Sample_55,CD4 SELL naive
213,210514_NovaA_Sample_15,GC-like B cell
214,210514_NovaA_Sample_2,Proliferating myeloid
215,RNASeq-normal-201227_NovaA_Sample7,CD8 SELL Naive
216,RNASeq-tumor-210609_NovaA_Sample_21,Enteroendocrine Cell
217,210514_NovaA_Sample_94,Monocyte Inflammatory
218,RNASeq-normal-201202_Next_Sample5,Resident Macrophage
219,210514_NovaA_Sample_72,Proliferating Stromal Cell
220,RNASeq-tumor-210616_NovaA_Sample_60,T_cell
221,210514_NovaA_Sample_177,CD83+ CLEC9A+ DC
222,RNASeq-tumor-210616_NovaA_Sample_65,Mast Cell
223,RNASeq-tumor-210615_NovaA_Sample_27,CD83+ CLEC9A+ DC
224,210514_NovaA_Sample_173,CD8 IEL
225,RNASeq-tumor-210318_NovaB_Sample_4,Myeloid
226,RNASeq-tumor-210318_NovaB_Sample_29,Glial Cell
227,RNASeq-tumor-210615_NovaA_Sample_25,CD209+ moDC
228,RNASeq-tumor-210615_NovaB_Sample_19,MAIT
229,RNASeq-tumor-210616_NovaA_Sample_51,Monocyte Inflammatory
230,RNASeq-normal-201117_NovaB_Sample20,Fibroblast
231,210514_NovaA_Sample_40,Memory B cell
232,RNASeq-tumor-210615_NovaB_Sample_3,Goblet Cell
233,210514_NovaA_Sample_150,GC-like B cell
234,RNASeq-normal-201202_Next_Sample3,CLEC10A+ DC
235,210514_NovaA_Sample_21,ILC3
236,RNASeq-tumor-210422_NovaB_Sample_19,Proliferating T cells
237,RNASeq-tumor-210609_NovaA_Sample_19,CD4 SELL naive
238,RNASeq-tumor-210616_NovaA_Sample_57,MAIT
239,RNASeq-normal-201214_NovaA_Sample21,CD8 SELL Naive
240,RNASeq-tumor-210615_NovaA_Sample_31,Monocyte Inflammatory
241,210514_NovaA_Sample_146,CD209+ moDC
242,RNASeq-tumor-210318_NovaB_Sample_30,Neutrophils
243,RNASeq-tumor-210616_NovaA_Sample_11,CD8 SELL Naive
244,210514_NovaA_Sample_184,Inflammatory Fibroblast
245,210514_NovaA_Sample_17,Proliferating Stromal Cell
246,RNASeq-tumor-210615_NovaB_Sample_21,Proliferating myeloid
247,210514_NovaA_Sample_35,CD4 Tfh
248,RNASeq-tumor-210616_NovaA_Sample_34,Stroma
249,210514_NovaA_Sample_92,Plasma Cell
250,RNASeq-tumor-210616_NovaA_Sample_12,CD4 Th17
251,RNASeq-tumor-210318_NovaB_Sample_12,CD4 Th17
252,RNASeq-tumor-210616_NovaA_Sample_44,Post-capillary venules
253,RNASeq-normal-201214_NovaA_Sample14,CD8 IEL
254,210514_NovaA_Sample_19,CLEC10A+ DC
255,210514_NovaA_Sample_53,Stroma
256,210514_NovaA_Sample_134,CD4 Treg
257,210514_NovaA_Sample_51,Plasma Cell
258,210514_NovaA_Sample_176,Goblet Cell
259,RNASeq-tumor-210615_NovaB_Sample_6,CD4 TRM
260,210514_NovaA_Sample_78,Enterocyte
261,RNASeq-normal-201214_NovaA_Sample26,Myofibroblast
262,RNASeq-tumor-210615_NovaB_Sample_22,CD4 Tph
263,210514_NovaA_Sample_138,T_cell
264,RNASeq-tumor-210318_NovaB_Sample_34,Stroma
265,RNASeq-tumor-210318_NovaB_Sample_11,CD8 IEL
266,210514_NovaA_Sample_44,gd T cell 2
267,210514_NovaA_Sample_100,CD4 TRM
268,210514_NovaA_Sample_143,Mast Cell
269,210514_NovaA_Sample_175,B_cell
270,210514_NovaA_Sample_108,Goblet Cell
271,210514_NovaA_Sample_178,Tuft Cell
272,210514_NovaA_Sample_46,gd T cell 1
273,210514_NovaA_Sample_139,Blood Endothelial Cell
274,RNASeq-tumor-210318_NovaB_Sample_25,CD4 Treg
275,210514_NovaA_Sample_135,IL7R+ Activated DC
276,RNASeq-normal-201227_NovaA_Sample11,Epithelial Stem Cell
277,210514_NovaA_Sample_1,Monocyte Inflammatory
278,210514_NovaA_Sample_122,CD8 IEL
279,210514_NovaA_Sample_93,CD83+ CLEC9A+ DC
280,RNASeq-tumor-210615_NovaA_Sample_18,Plasma Cell
281,210514_NovaA_Sample_39,ILC3
282,210514_NovaA_Sample_96,Myofibroblast
283,RNASeq-tumor-210616_NovaA_Sample_32,Pericyte
284,210514_NovaA_Sample_132,CD83+ CLEC9A+ DC
285,RNASeq-tumor-210616_NovaA_Sample_52,Enteroendocrine Cell
286,210514_NovaA_Sample_18,Monocyte Inflammatory
287,RNASeq-normal-201117_NovaB_Sample21,CD4 SELL naive
288,210514_NovaA_Sample_66,Goblet Cell
289,RNASeq-tumor-210616_NovaA_Sample_58,Memory B cell
290,RNASeq-tumor-210615_NovaB_Sample_10,CD4 Th17
291,RNASeq-normal-201214_NovaA_Sample15,Memory B cell
292,RNASeq-tumor-210616_NovaA_Sample_33,Glial Cell
293,210514_NovaA_Sample_41,CD4 TRM
294,RNASeq-normal-201214_NovaA_Sample13,Glial Cell
295,210514_NovaA_Sample_71,IL7R+ Activated DC
296,RNASeq-tumor-210302-NovaA_Sample_13,CD8 IEL
297,210514_NovaA_Sample_181,gd T cell 1
298,RNASeq-tumor-210302-NovaA_Sample_14,Myofibroblast
299,RNASeq-tumor-210616_NovaA_Sample_10,Pericyte
300,RNASeq-tumor-210423_NovaB_Sample_15,Post-capillary venules
301,RNASeq-normal-210108-NovaB_Sample19,B_cell
302,RNASeq-normal-201214_NovaA_Sample8,Epithelial M Cell
303,RNASeq-tumor-210318_NovaB_Sample_2,Enterocyte
304,RNASeq-normal-201214_NovaA_Sample24,NK
305,RNASeq-tumor-210616_NovaA_Sample_46,ILC3
306,210514_NovaA_Sample_83,Myeloid
307,RNASeq-tumor-210615_NovaB_Sample_15,T_cell
308,RNASeq-tumor-210318_NovaB_Sample_6,Stroma
309,RNASeq-tumor-210616_NovaA_Sample_20,Myeloid
310,210514_NovaA_Sample_36,Epithelial M Cell
311,RNASeq-normal-201227_NovaA_Sample1,CD8 Effector
312,RNASeq-tumor-210318_NovaB_Sample_26,Pericyte
313,RNASeq-tumor-210616_NovaA_Sample_67,Inflammatory Fibroblast
314,RNASeq-tumor-210615_NovaB_Sample_14,Epithelial Progenitor Cell
315,210514_NovaA_Sample_145,CD4 Tfh
316,RNASeq-normal-201214_NovaA_Sample19,Inflammatory Fibroblast
317,210514_NovaA_Sample_76,Epithelial Stem Cell
318,210514_NovaA_Sample_64,Resident Macrophage
319,210514_NovaA_Sample_111,CD209+ moDC
320,210514_NovaA_Sample_34,CD8 IEL
321,210514_NovaA_Sample_172,Inflammatory Fibroblast
322,RNASeq-normal-201214_NovaA_Sample32,GC-like B cell
323,RNASeq-tumor-210615_NovaB_Sample_33,Epithelial Progenitor Cell
324,210514_NovaA_Sample_149,Plasmablast
325,210514_NovaA_Sample_23,gd T cell 2
326,RNASeq-tumor-210318_NovaB_Sample_1,T_cell
327,RNASeq-tumor-210615_NovaA_Sample_19,Pericyte
328,210514_NovaA_Sample_104,CD4 TRM
329,RNASeq-tumor-210609_NovaA_Sample_25,CD83+ CLEC9A+ DC
330,210514_NovaA_Sample_48,Mast Cell
331,RNASeq-tumor-210318_NovaB_Sample_33,Tuft Cell
332,RNASeq-normal-201214_NovaA_Sample18,Neutrophils
333,RNASeq-normal-210108-NovaB_Sample20,Myeloid
334,RNASeq-tumor-210422_NovaB_Sample_18,Inflammatory Fibroblast
335,210514_NovaA_Sample_152,Goblet Cell
336,RNASeq-tumor-210423_NovaB_Sample_13,Tuft Cell
337,RNASeq-normal-201227_NovaA_Sample3,NK
338,210514_NovaA_Sample_20,CD4 Tph
339,210514_NovaA_Sample_123,Epithelial M Cell
340,RNASeq-tumor-210423_NovaB_Sample_16,gd T cell 1
341,RNASeq-tumor-210616_NovaA_Sample_45,CD83- CLEC9A+ DC
342,RNASeq-tumor-210615_NovaA_Sample_9,Proliferating T cells
343,RNASeq-tumor-210615_NovaB_Sample_2,Pericyte
344,RNASeq-normal-201202_Next_Sample4,Proliferating Stromal Cell
345,210514_NovaA_Sample_33,CD4 TRM
346,RNASeq-tumor-210615_NovaB_Sample_30,Stroma
347,RNASeq-normal-201214_NovaA_Sample27,Smooth Muscle Cell
