,Dataset,Cell_type
183,CID005799-1,Epithelial M Cell
184,CID005799-1,Epithelial Progenitor Cell
185,CID005799-1,Epithelial Stem Cell
186,CID005799-1,Goblet Cell
187,CID005799-1,Tuft Cell
188,CID005800-1,CD209+ moDC
189,CID005800-1,CD83+ CLEC9A+ DC
190,CID005800-1,CD83- CLEC9A+ DC
191,CID005800-1,CLEC10A+ DC
192,CID005800-1,IL7R+ Activated DC
193,CID005800-1,Mast Cell
194,CID005800-1,Memory B cell
195,CID005800-1,Monocyte Inflammatory
196,CID005800-1,Proliferating myeloid
197,CID005800-1,Resident Macrophage
198,CID005800-1,CD4 SELL naive
199,CID005800-1,CD4 TRM
200,CID005800-1,CD4 Tfh
201,CID005800-1,CD4 Th17
202,CID005800-1,CD4 Tph
203,CID005800-1,CD4 Treg
204,CID005800-1,CD8 Effector
205,CID005800-1,CD8 IEL
206,CID005800-1,CD8 SELL Naive
207,CID005800-1,ILC3
208,CID005800-1,MAIT
209,CID005800-1,NK
210,CID005800-1,Proliferating T cells
211,CID005800-1,gd T cell 1
212,CID005800-1,gd T cell 2
213,CID005800-1,GC-like B cell
214,CID005800-1,Memory B cell
215,CID005800-1,Naive B cell
216,CID005800-1,Plasma Cell
217,CID005800-1,Plasmablast
218,CID005800-1,Arterial Pericyte
219,CID005800-1,Blood Endothelial Cell
220,CID005800-1,Fibroblast
221,CID005800-1,Glial Cell
222,CID005800-1,Inflammatory Fibroblast
223,CID005800-1,Myofibroblast
224,CID005800-1,Pericyte
225,CID005800-1,Post-capillary venules
226,CID005800-1,Proliferating Stromal Cell
227,CID005800-1,Smooth Muscle Cell
228,CID005800-1,Enterocyte
229,CID005800-1,Enteroendocrine Cell
230,CID005800-1,Epithelial M Cell
231,CID005800-1,Epithelial Progenitor Cell
232,CID005800-1,Epithelial Stem Cell
233,CID005800-1,Goblet Cell
234,CID005800-1,Tuft Cell
235,CID005801-1,CD209+ moDC
236,CID005801-1,CD83+ CLEC9A+ DC
237,CID005801-1,CD83- CLEC9A+ DC
238,CID005801-1,CLEC10A+ DC
239,CID005801-1,IL7R+ Activated DC
240,CID005801-1,Mast Cell
241,CID005801-1,Memory B cell
242,CID005801-1,Monocyte Inflammatory
243,CID005801-1,Proliferating myeloid
244,CID005801-1,Resident Macrophage
245,CID005801-1,CD4 SELL naive
246,CID005801-1,CD4 TRM
247,CID005801-1,CD4 Tfh
248,CID005801-1,CD4 Th17
249,CID005801-1,CD4 Tph
250,CID005801-1,CD4 Treg
251,CID005801-1,CD8 Effector
252,CID005801-1,CD8 IEL
253,CID005801-1,CD8 SELL Naive
254,CID005801-1,ILC3
255,CID005801-1,MAIT
256,CID005801-1,NK
257,CID005801-1,Proliferating T cells
258,CID005801-1,gd T cell 1
259,CID005801-1,gd T cell 2
260,CID005801-1,GC-like B cell
261,CID005801-1,Memory B cell
262,CID005801-1,Naive B cell
263,CID005801-1,Plasma Cell
264,CID005801-1,Plasmablast
265,CID005801-1,Arterial Pericyte
266,CID005801-1,Blood Endothelial Cell
267,CID005801-1,Fibroblast
268,CID005801-1,Glial Cell
269,CID005801-1,Inflammatory Fibroblast
270,CID005801-1,Myofibroblast
271,CID005801-1,Pericyte
272,CID005801-1,Post-capillary venules
273,CID005801-1,Proliferating Stromal Cell
274,CID005801-1,Smooth Muscle Cell
275,CID005801-1,Enterocyte
276,CID005801-1,Enteroendocrine Cell
277,CID005801-1,Epithelial M Cell
278,CID005801-1,Epithelial Progenitor Cell
279,CID005801-1,Epithelial Stem Cell
280,CID005801-1,Goblet Cell
281,CID005801-1,Tuft Cell
282,CID006004-1,CD209+ moDC
283,CID006004-1,CD83+ CLEC9A+ DC
284,CID006004-1,CD83- CLEC9A+ DC
285,CID006004-1,CLEC10A+ DC
286,CID006004-1,IL7R+ Activated DC
287,CID006004-1,Mast Cell
288,CID006004-1,Memory B cell
289,CID006004-1,Monocyte Inflammatory
290,CID006004-1,Proliferating myeloid
291,CID006004-1,Resident Macrophage
292,CID006004-1,CD4 SELL naive
293,CID006004-1,CD4 TRM
294,CID006004-1,CD4 Tfh
295,CID006004-1,CD4 Th17
296,CID006004-1,CD4 Tph
297,CID006004-1,CD4 Treg
298,CID006004-1,CD8 Effector
299,CID006004-1,CD8 IEL
300,CID006004-1,CD8 SELL Naive
301,CID006004-1,ILC3
302,CID006004-1,MAIT
303,CID006004-1,NK
304,CID006004-1,Proliferating T cells
305,CID006004-1,gd T cell 1
306,CID006004-1,gd T cell 2
307,CID006004-1,GC-like B cell
308,CID006004-1,Memory B cell
309,CID006004-1,Naive B cell
310,CID006004-1,Plasma Cell
311,CID006004-1,Plasmablast
312,CID006004-1,Arterial Pericyte
313,CID006004-1,Blood Endothelial Cell
314,CID006004-1,Fibroblast
315,CID006004-1,Glial Cell
316,CID006004-1,Inflammatory Fibroblast
317,CID006004-1,Myofibroblast
318,CID006004-1,Pericyte
319,CID006004-1,Post-capillary venules
320,CID006004-1,Proliferating Stromal Cell
321,CID006004-1,Smooth Muscle Cell
322,CID006004-1,Enterocyte
323,CID006004-1,Enteroendocrine Cell
324,CID006004-1,Epithelial M Cell
325,CID006004-1,Epithelial Progenitor Cell
326,CID006004-1,Epithelial Stem Cell
327,CID006004-1,Goblet Cell
328,CID006004-1,Tuft Cell
329,CID007374-1,CD209+ moDC
330,CID007374-1,CD83+ CLEC9A+ DC
331,CID007374-1,CD83- CLEC9A+ DC
332,CID007374-1,CLEC10A+ DC
333,CID007374-1,IL7R+ Activated DC
334,CID007374-1,Mast Cell
335,CID007374-1,Memory B cell
336,CID007374-1,Monocyte Inflammatory
337,CID007374-1,Proliferating myeloid
338,CID007374-1,Resident Macrophage
339,CID007374-1,CD4 SELL naive
340,CID007374-1,CD4 TRM
341,CID007374-1,CD4 Tfh
342,CID007374-1,CD4 Th17
343,CID007374-1,CD4 Tph
344,CID007374-1,CD4 Treg
345,CID007374-1,CD8 Effector
346,CID007374-1,CD8 IEL
347,CID007374-1,CD8 SELL Naive
348,CID007374-1,ILC3
349,CID007374-1,MAIT
350,CID007374-1,NK
351,CID007374-1,Proliferating T cells
352,CID007374-1,gd T cell 1
353,CID007374-1,gd T cell 2
354,CID007374-1,GC-like B cell
355,CID007374-1,Memory B cell
356,CID007374-1,Naive B cell
357,CID007374-1,Plasma Cell
358,CID007374-1,Plasmablast
359,CID007374-1,Arterial Pericyte
360,CID007374-1,Blood Endothelial Cell
361,CID007374-1,Fibroblast
362,CID007374-1,Glial Cell
363,CID007374-1,Inflammatory Fibroblast
364,CID007374-1,Myofibroblast
365,CID007374-1,Pericyte
366,CID007374-1,Post-capillary venules
367,CID007374-1,Proliferating Stromal Cell
368,CID007374-1,Smooth Muscle Cell
369,CID007374-1,Enterocyte
370,CID007374-1,Enteroendocrine Cell
371,CID007374-1,Epithelial M Cell
372,CID007374-1,Epithelial Progenitor Cell
373,CID007374-1,Epithelial Stem Cell
374,CID007374-1,Goblet Cell
375,CID007374-1,Tuft Cell
376,CID007376-1,CD209+ moDC
377,CID007376-1,CD83+ CLEC9A+ DC
378,CID007376-1,CD83- CLEC9A+ DC
379,CID007376-1,CLEC10A+ DC
380,CID007376-1,IL7R+ Activated DC
381,CID007376-1,Mast Cell
382,CID007376-1,Memory B cell
383,CID007376-1,Monocyte Inflammatory
384,CID007376-1,Proliferating myeloid
385,CID007376-1,Resident Macrophage
386,CID007376-1,CD4 SELL naive
387,CID007376-1,CD4 TRM
388,CID007376-1,CD4 Tfh
389,CID007376-1,CD4 Th17
390,CID007376-1,CD4 Tph
391,CID007376-1,CD4 Treg
392,CID007376-1,CD8 Effector
393,CID007376-1,CD8 IEL
394,CID007376-1,CD8 SELL Naive
395,CID007376-1,ILC3
396,CID007376-1,MAIT
397,CID007376-1,NK
398,CID007376-1,Proliferating T cells
399,CID007376-1,gd T cell 1
400,CID007376-1,gd T cell 2
401,CID007376-1,GC-like B cell
402,CID007376-1,Memory B cell
403,CID007376-1,Naive B cell
404,CID007376-1,Plasma Cell
405,CID007376-1,Plasmablast
406,CID007376-1,Arterial Pericyte
407,CID007376-1,Blood Endothelial Cell
408,CID007376-1,Fibroblast
409,CID007376-1,Glial Cell
410,CID007376-1,Inflammatory Fibroblast
411,CID007376-1,Myofibroblast
412,CID007376-1,Pericyte
413,CID007376-1,Post-capillary venules
414,CID007376-1,Proliferating Stromal Cell
415,CID007376-1,Smooth Muscle Cell
416,CID007376-1,Enterocyte
417,CID007376-1,Enteroendocrine Cell
418,CID007376-1,Epithelial M Cell
419,CID007376-1,Epithelial Progenitor Cell
420,CID007376-1,Epithelial Stem Cell
421,CID007376-1,Goblet Cell
422,CID007376-1,Tuft Cell
423,CID007378-1,CD209+ moDC
424,CID007378-1,CD83+ CLEC9A+ DC
425,CID007378-1,CD83- CLEC9A+ DC
426,CID007378-1,CLEC10A+ DC
427,CID007378-1,IL7R+ Activated DC
428,CID007378-1,Mast Cell
429,CID007378-1,Memory B cell
430,CID007378-1,Monocyte Inflammatory
431,CID007378-1,Proliferating myeloid
432,CID007378-1,Resident Macrophage
433,CID007378-1,CD4 SELL naive
434,CID007378-1,CD4 TRM
435,CID007378-1,CD4 Tfh
436,CID007378-1,CD4 Th17
437,CID007378-1,CD4 Tph
438,CID007378-1,CD4 Treg
439,CID007378-1,CD8 Effector
440,CID007378-1,CD8 IEL
441,CID007378-1,CD8 SELL Naive
442,CID007378-1,ILC3
443,CID007378-1,MAIT
444,CID007378-1,NK
445,CID007378-1,Proliferating T cells
446,CID007378-1,gd T cell 1
447,CID007378-1,gd T cell 2
448,CID007378-1,GC-like B cell
449,CID007378-1,Memory B cell
450,CID007378-1,Naive B cell
451,CID007378-1,Plasma Cell
452,CID007378-1,Plasmablast
453,CID007378-1,Arterial Pericyte
454,CID007378-1,Blood Endothelial Cell
455,CID007378-1,Fibroblast
456,CID007378-1,Glial Cell
457,CID007378-1,Inflammatory Fibroblast
458,CID007378-1,Myofibroblast
459,CID007378-1,Pericyte
460,CID007378-1,Post-capillary venules
461,CID007378-1,Proliferating Stromal Cell
462,CID007378-1,Smooth Muscle Cell
463,CID007378-1,Enterocyte
464,CID007378-1,Enteroendocrine Cell
465,CID007378-1,Epithelial M Cell
466,CID007378-1,Epithelial Progenitor Cell
467,CID007378-1,Epithelial Stem Cell
468,CID007378-1,Goblet Cell
469,CID007378-1,Tuft Cell
470,CID007380-1,CD209+ moDC
471,CID007380-1,CD83+ CLEC9A+ DC
472,CID007380-1,CD83- CLEC9A+ DC
473,CID007380-1,CLEC10A+ DC
474,CID007380-1,IL7R+ Activated DC
475,CID007380-1,Mast Cell
476,CID007380-1,Memory B cell
477,CID007380-1,Monocyte Inflammatory
478,CID007380-1,Proliferating myeloid
479,CID007380-1,Resident Macrophage
480,CID007380-1,CD4 SELL naive
481,CID007380-1,CD4 TRM
482,CID007380-1,CD4 Tfh
483,CID007380-1,CD4 Th17
484,CID007380-1,CD4 Tph
485,CID007380-1,CD4 Treg
486,CID007380-1,CD8 Effector
487,CID007380-1,CD8 IEL
488,CID007380-1,CD8 SELL Naive
489,CID007380-1,ILC3
490,CID007380-1,MAIT
491,CID007380-1,NK
492,CID007380-1,Proliferating T cells
493,CID007380-1,gd T cell 1
494,CID007380-1,gd T cell 2
495,CID007380-1,GC-like B cell
496,CID007380-1,Memory B cell
497,CID007380-1,Naive B cell
498,CID007380-1,Plasma Cell
499,CID007380-1,Plasmablast
500,CID007380-1,Arterial Pericyte
501,CID007380-1,Blood Endothelial Cell
502,CID007380-1,Fibroblast
503,CID007380-1,Glial Cell
504,CID007380-1,Inflammatory Fibroblast
505,CID007380-1,Myofibroblast
506,CID007380-1,Pericyte
507,CID007380-1,Post-capillary venules
508,CID007380-1,Proliferating Stromal Cell
509,CID007380-1,Smooth Muscle Cell
510,CID007380-1,Enterocyte
511,CID007380-1,Enteroendocrine Cell
512,CID007380-1,Epithelial M Cell
513,CID007380-1,Epithelial Progenitor Cell
514,CID007380-1,Epithelial Stem Cell
515,CID007380-1,Goblet Cell
516,CID007380-1,Tuft Cell
517,CID007382-1,CD209+ moDC
518,CID007382-1,CD83+ CLEC9A+ DC
519,CID007382-1,CD83- CLEC9A+ DC
520,CID007382-1,CLEC10A+ DC
521,CID007382-1,IL7R+ Activated DC
522,CID007382-1,Mast Cell
523,CID007382-1,Memory B cell
524,CID007382-1,Monocyte Inflammatory
525,CID007382-1,Proliferating myeloid
526,CID007382-1,Resident Macrophage
527,CID007382-1,CD4 SELL naive
528,CID007382-1,CD4 TRM
529,CID007382-1,CD4 Tfh
530,CID007382-1,CD4 Th17
531,CID007382-1,CD4 Tph
532,CID007382-1,CD4 Treg
533,CID007382-1,CD8 Effector
534,CID007382-1,CD8 IEL
535,CID007382-1,CD8 SELL Naive
536,CID007382-1,ILC3
537,CID007382-1,MAIT
538,CID007382-1,NK
539,CID007382-1,Proliferating T cells
540,CID007382-1,gd T cell 1
541,CID007382-1,gd T cell 2
542,CID007382-1,GC-like B cell
543,CID007382-1,Memory B cell
544,CID007382-1,Naive B cell
545,CID007382-1,Plasma Cell
546,CID007382-1,Plasmablast
547,CID007382-1,Arterial Pericyte
548,CID007382-1,Blood Endothelial Cell
549,CID007382-1,Fibroblast
550,CID007382-1,Glial Cell
551,CID007382-1,Inflammatory Fibroblast
552,CID007382-1,Myofibroblast
553,CID007382-1,Pericyte
554,CID007382-1,Post-capillary venules
555,CID007382-1,Proliferating Stromal Cell
556,CID007382-1,Smooth Muscle Cell
557,CID007382-1,Enterocyte
558,CID007382-1,Enteroendocrine Cell
559,CID007382-1,Epithelial M Cell
560,CID007382-1,Epithelial Progenitor Cell
561,CID007382-1,Epithelial Stem Cell
562,CID007382-1,Goblet Cell
563,CID007382-1,Tuft Cell
564,CID007384-1,CD209+ moDC
565,CID007384-1,CD83+ CLEC9A+ DC
566,CID007384-1,CD83- CLEC9A+ DC
567,CID007384-1,CLEC10A+ DC
568,CID007384-1,IL7R+ Activated DC
569,CID007384-1,Mast Cell
570,CID007384-1,Memory B cell
571,CID007384-1,Monocyte Inflammatory
572,CID007384-1,Proliferating myeloid
573,CID007384-1,Resident Macrophage
574,CID007384-1,CD4 SELL naive
575,CID007384-1,CD4 TRM
576,CID007384-1,CD4 Tfh
577,CID007384-1,CD4 Th17
578,CID007384-1,CD4 Tph
579,CID007384-1,CD4 Treg
580,CID007384-1,CD8 Effector
581,CID007384-1,CD8 IEL
582,CID007384-1,CD8 SELL Naive
583,CID007384-1,ILC3
584,CID007384-1,MAIT
585,CID007384-1,NK
586,CID007384-1,Proliferating T cells
587,CID007384-1,gd T cell 1
588,CID007384-1,gd T cell 2
589,CID007384-1,GC-like B cell
590,CID007384-1,Memory B cell
591,CID007384-1,Naive B cell
592,CID007384-1,Plasma Cell
593,CID007384-1,Plasmablast
594,CID007384-1,Arterial Pericyte
595,CID007384-1,Blood Endothelial Cell
596,CID007384-1,Fibroblast
597,CID007384-1,Glial Cell
598,CID007384-1,Inflammatory Fibroblast
599,CID007384-1,Myofibroblast
600,CID007384-1,Pericyte
601,CID007384-1,Post-capillary venules
602,CID007384-1,Proliferating Stromal Cell
603,CID007384-1,Smooth Muscle Cell
604,CID007384-1,Enterocyte
605,CID007384-1,Enteroendocrine Cell
606,CID007384-1,Epithelial M Cell
607,CID007384-1,Epithelial Progenitor Cell
608,CID007384-1,Epithelial Stem Cell
609,CID007384-1,Goblet Cell
610,CID007384-1,Tuft Cell
611,CID007386-1,CD209+ moDC
612,CID007386-1,CD83+ CLEC9A+ DC
613,CID007386-1,CD83- CLEC9A+ DC
614,CID007386-1,CLEC10A+ DC
615,CID007386-1,IL7R+ Activated DC
616,CID007386-1,Mast Cell
617,CID007386-1,Memory B cell
618,CID007386-1,Monocyte Inflammatory
619,CID007386-1,Proliferating myeloid
620,CID007386-1,Resident Macrophage
621,CID007386-1,CD4 SELL naive
622,CID007386-1,CD4 TRM
623,CID007386-1,CD4 Tfh
624,CID007386-1,CD4 Th17
625,CID007386-1,CD4 Tph
626,CID007386-1,CD4 Treg
627,CID007386-1,CD8 Effector
628,CID007386-1,CD8 IEL
629,CID007386-1,CD8 SELL Naive
630,CID007386-1,ILC3
631,CID007386-1,MAIT
632,CID007386-1,NK
633,CID007386-1,Proliferating T cells
634,CID007386-1,gd T cell 1
635,CID007386-1,gd T cell 2
636,CID007386-1,GC-like B cell
637,CID007386-1,Memory B cell
638,CID007386-1,Naive B cell
639,CID007386-1,Plasma Cell
640,CID007386-1,Plasmablast
641,CID007386-1,Arterial Pericyte
642,CID007386-1,Blood Endothelial Cell
643,CID007386-1,Fibroblast
644,CID007386-1,Glial Cell
645,CID007386-1,Inflammatory Fibroblast
646,CID007386-1,Myofibroblast
647,CID007386-1,Pericyte
648,CID007386-1,Post-capillary venules
649,CID007386-1,Proliferating Stromal Cell
650,CID007386-1,Smooth Muscle Cell
651,CID007386-1,Enterocyte
652,CID007386-1,Enteroendocrine Cell
653,CID007386-1,Epithelial M Cell
654,CID007386-1,Epithelial Progenitor Cell
655,CID007386-1,Epithelial Stem Cell
656,CID007386-1,Goblet Cell
657,CID007386-1,Tuft Cell
658,CID007790-1,CD209+ moDC
659,CID007790-1,CD83+ CLEC9A+ DC
660,CID007790-1,CD83- CLEC9A+ DC
661,CID007790-1,CLEC10A+ DC
662,CID007790-1,IL7R+ Activated DC
663,CID007790-1,Mast Cell
664,CID007790-1,Memory B cell
665,CID007790-1,Monocyte Inflammatory
666,CID007790-1,Proliferating myeloid
667,CID007790-1,Resident Macrophage
668,CID007790-1,CD4 SELL naive
669,CID007790-1,CD4 TRM
670,CID007790-1,CD4 Tfh
671,CID007790-1,CD4 Th17
672,CID007790-1,CD4 Tph
673,CID007790-1,CD4 Treg
674,CID007790-1,CD8 Effector
675,CID007790-1,CD8 IEL
676,CID007790-1,CD8 SELL Naive
677,CID007790-1,ILC3
678,CID007790-1,MAIT
679,CID007790-1,NK
680,CID007790-1,Proliferating T cells
681,CID007790-1,gd T cell 1
682,CID007790-1,gd T cell 2
683,CID007790-1,GC-like B cell
684,CID007790-1,Memory B cell
685,CID007790-1,Naive B cell
686,CID007790-1,Plasma Cell
687,CID007790-1,Plasmablast
688,CID007790-1,Arterial Pericyte
689,CID007790-1,Blood Endothelial Cell
690,CID007790-1,Fibroblast
691,CID007790-1,Glial Cell
692,CID007790-1,Inflammatory Fibroblast
693,CID007790-1,Myofibroblast
694,CID007790-1,Pericyte
695,CID007790-1,Post-capillary venules
696,CID007790-1,Proliferating Stromal Cell
697,CID007790-1,Smooth Muscle Cell
698,CID007790-1,Enterocyte
699,CID007790-1,Enteroendocrine Cell
700,CID007790-1,Epithelial M Cell
701,CID007790-1,Epithelial Progenitor Cell
702,CID007790-1,Epithelial Stem Cell
703,CID007790-1,Goblet Cell
704,CID007790-1,Tuft Cell
705,CID007792-1,CD209+ moDC
706,CID007792-1,CD83+ CLEC9A+ DC
707,CID007792-1,CD83- CLEC9A+ DC
708,CID007792-1,CLEC10A+ DC
709,CID007792-1,IL7R+ Activated DC
710,CID007792-1,Mast Cell
711,CID007792-1,Memory B cell
712,CID007792-1,Monocyte Inflammatory
713,CID007792-1,Proliferating myeloid
714,CID007792-1,Resident Macrophage
715,CID007792-1,CD4 SELL naive
716,CID007792-1,CD4 TRM
717,CID007792-1,CD4 Tfh
718,CID007792-1,CD4 Th17
719,CID007792-1,CD4 Tph
720,CID007792-1,CD4 Treg
721,CID007792-1,CD8 Effector
722,CID007792-1,CD8 IEL
723,CID007792-1,CD8 SELL Naive
724,CID007792-1,ILC3
725,CID007792-1,MAIT
726,CID007792-1,NK
727,CID007792-1,Proliferating T cells
728,CID007792-1,gd T cell 1
729,CID007792-1,gd T cell 2
730,CID007792-1,GC-like B cell
731,CID007792-1,Memory B cell
732,CID007792-1,Naive B cell
733,CID007792-1,Plasma Cell
734,CID007792-1,Plasmablast
735,CID007792-1,Arterial Pericyte
736,CID007792-1,Blood Endothelial Cell
737,CID007792-1,Fibroblast
738,CID007792-1,Glial Cell
739,CID007792-1,Inflammatory Fibroblast
740,CID007792-1,Myofibroblast
741,CID007792-1,Pericyte
742,CID007792-1,Post-capillary venules
743,CID007792-1,Proliferating Stromal Cell
744,CID007792-1,Smooth Muscle Cell
745,CID007792-1,Enterocyte
746,CID007792-1,Enteroendocrine Cell
747,CID007792-1,Epithelial M Cell
748,CID007792-1,Epithelial Progenitor Cell
749,CID007792-1,Epithelial Stem Cell
750,CID007792-1,Goblet Cell
751,CID007792-1,Tuft Cell
752,CID007794-1,CD209+ moDC
753,CID007794-1,CD83+ CLEC9A+ DC
754,CID007794-1,CD83- CLEC9A+ DC
755,CID007794-1,CLEC10A+ DC
756,CID007794-1,IL7R+ Activated DC
757,CID007794-1,Mast Cell
758,CID007794-1,Memory B cell
759,CID007794-1,Monocyte Inflammatory
760,CID007794-1,Proliferating myeloid
761,CID007794-1,Resident Macrophage
762,CID007794-1,CD4 SELL naive
763,CID007794-1,CD4 TRM
764,CID007794-1,CD4 Tfh
765,CID007794-1,CD4 Th17
766,CID007794-1,CD4 Tph
767,CID007794-1,CD4 Treg
768,CID007794-1,CD8 Effector
769,CID007794-1,CD8 IEL
