,B Cell,Myeloid,Stroma,T Cell,Other1,Other2,Other3,rho_Spearman,rho_Pearson
CID006527-1,0.013289238823063062,0.01701817766292021,0.6846074054273121,0.13450601793483744,0.006156809237871401,0.0540924425686479,0.0903299083453479,0.931835059022802,0.681469242874716
CID006542-1,0.1748793444095222,0.0018796978551223306,0.09534260700901988,0.3746168486450112,0.01737412002481062,0.2611905517453874,0.07471683031112641,0.8332414405250524,0.6076183321346477
CID006544-1,0.12369563947949759,0.006792431806121211,0.31355687199076226,0.15242548948965548,0.000991378447495217,0.11928303748405147,0.2832551513024167,0.8366895075265559,0.6266268672358706
CID006548-1,0.280414161282692,0.012988456332845962,0.21584552728794254,0.17843071587940137,0.0006687435469225495,0.23356912592622456,0.07808326974397106,0.849858726363834,0.6191841046958172
CID006551-1,0.007337709574887883,0.01583152168411933,0.407310775880216,0.2027096753014447,0.011823228177192951,0.30920709899305354,0.045779990389085756,0.836885190140366,0.5765574902401754
CID007329-1,0.033463748381940175,0.013612804745090825,0.7359233079009588,0.11502481111667631,0.07714572372898601,0.01536502382208416,0.009464580304263668,0.8530377517219623,0.6298081651402072
CID007330-1,3.25417509571712e-05,0.06787999075705474,0.15328183204342605,0.7007409827987204,0.0026452301957842488,0.03566427630354324,0.03975514615051409,0.7956950943793049,0.6287846701776427
CID007338-1,0.08087129605902438,0.031182357946330442,0.15088594802744323,0.22246069137294408,0.018356618642466654,0.2853050879642255,0.21093799998756588,0.8765810500244109,0.6672819453918075
CID007346-1,0.004206922047635395,0.0058155238221483975,0.1700696914782838,0.3022837216570293,0.20911737991466373,0.013150105010038996,0.2953566560702004,0.7544593088071349,0.6728367881182682
CID007352-1,0.40701051755379025,0.0027001806013708953,0.19314768487857337,0.055104788279695935,0.0006155551182809569,0.2136652931727512,0.12775598039553746,0.8317545903174293,0.5835697542245307
CID007358-1,0.2388602589923428,0.018183524323252404,0.1943377646860203,0.1993205444481325,0.0004656243371859247,0.16670563143413997,0.18212665177892612,0.8171919148011302,0.6505484919608788
CID007659-1,0.2720358091957276,0.005306151484654972,0.025970508137434276,0.3728712057917945,0.001362108177217189,0.0443176652407616,0.2781365519724098,0.78600167394776,0.6578121569185562
CID007661-1,0.1424200583572264,0.015155522881806724,0.17995927518408247,0.3329282352379236,0.022990225220843617,0.05217823937626752,0.2543684437418497,0.8096923204079947,0.6237945376095578
CID007664-1,0.007773739005712756,0.04416021820612805,0.32201483974491807,0.14258126105035618,0.09585205457053605,0.23927061770204364,0.14834726972030532,0.775456299780698,0.6758089221331883
CID007665-1,0.11064523826864443,0.011980347214993015,0.3121344079452093,0.21255540297152364,0.05719868062595977,0.2469429979496607,0.04854292502400909,0.8405177618392137,0.661076670852355
CID007666-1,0.20575506955650502,0.015767182629880905,0.21360850131900555,0.21505988779379545,0.019436915190728904,0.2532461436692221,0.07712629984086201,0.7835106211240287,0.6619207303092729
CID007667-1,0.34152995774358097,0.019152996042483758,0.05994449810995621,0.34515842304220584,0.02179943207930828,0.025454646850726525,0.18696004613173842,0.8414803758186574,0.6980842134499977
CID007672-1,0.3407847955399994,0.024291398057168994,0.27726612555854074,0.025054989821311234,0.005747939797752114,0.26786597008419427,0.058988781141033224,0.7677296117500482,0.5367479997791567
CID007676-1,0.28294198287216477,0.0016751897970346448,0.2173329109107362,0.16916200901943731,0.09354201729255025,0.171211973760759,0.06413391634731785,0.8476497760743991,0.6002612886008711
CID007681-1,0.21795998332252753,0.0007109701470415388,0.12612371874546321,0.2797965732042096,0.1669127118098951,0.012795483344608961,0.19570055942625408,0.7671749252305836,0.6895185155241242
CID007688-1,0.0034301226670444486,0.0002632180546708124,0.3547542452093135,0.022123223426178344,0.24387093330169735,0.2526768748771436,0.12288138246395194,0.7226825089495899,0.5804819608409956
CID007694-1,0.04246148458554525,0.0003260627965092203,0.23731315490811283,0.2580279108514749,0.2413236583907099,0.13769065968969477,0.08285706877795314,0.8351937611540656,0.6255208129038734
CID007697-1,0.04966515701194582,0.020492438432998708,0.3142031112740712,0.22468562364749617,0.045415039930176315,0.16785465520686246,0.17768397449644938,0.7974200342240358,0.6871140231709036
CID007704-1,0.06582999535461809,0.002142116757108183,0.2180885509056637,0.2938898619871843,0.00420985524518104,0.24212885139145474,0.17371076835878993,0.8724266974055915,0.6516116587220521
CID007707-1,0.2226309506435133,0.0010995260912195696,0.16953993863823272,0.05892442332165667,0.18864561389945575,0.22015230471319308,0.1390072426927288,0.777762948042526,0.5328778239688032
CID007825-1,0.3015917191405127,0.0009028042446416014,0.011719357348177377,0.30259071220258627,0.07870528953320163,0.1665974736157531,0.13789264391512732,0.8502997002997003,0.7296126307676822
CID007827-1,0.285236623435337,0.0002445827014141118,0.02947702578864947,0.215940242129693,5.4927535930980114e-05,0.269724651967059,0.1993219464419165,0.8541911178729262,0.6623637536449649
CID007829-1,0.33211426472066474,0.028076346013004627,0.0909022604082517,0.33329849620608265,0.004094491385842139,0.19980169032424164,0.011712450941912528,0.8550261910700924,0.6216927882538676
CID007845-1,0.06860786540856373,0.017787871817743394,0.3165329760453335,0.20817279951491796,0.001866470571789006,0.01626799413243446,0.37076402250921797,0.8540317322321235,0.6066741202244811
CID007847-1,0.23475914022816113,0.013505346404063106,0.08670926600215347,0.21411449053722464,0.03638549082371184,0.21527450096901152,0.1992517650356744,0.8300527512830589,0.6868076612037153
CID007849-1,0.3832048998830239,3.0858458245194086e-06,0.1477038864055558,0.10654032143814218,0.15705382259301232,0.0729505720724384,0.13254341176200288,0.852267901182443,0.6105860690341038
CID008109-1,0.3635700013630429,0.034013974223480445,0.009225847057582892,0.22759643646635846,0.02535611344001115,0.011405643008721053,0.3288319844408032,0.8287975370779627,0.6288297699405373
CID008114-1,0.33434937917483665,0.053508923928502525,0.07233717922193482,0.2882042836647554,0.001498977143781661,0.14941267583836457,0.10068858102782431,0.8389647551768629,0.6630659797126283
CID008122-1,0.09439781788087433,0.0004154836409069205,0.3942256544090896,0.19877967001946475,0.138982404697652,0.12252069846931443,0.05067827088269808,0.7345271813613522,0.6221369480751139
CID008457-1,0.041281934012424935,0.0347829878625894,0.4399674058235273,0.14622049833492762,0.0007423488850440756,0.3017122420710736,0.035292583010413076,0.8940292924496815,0.6694145162438743
CID008459-1,0.053684358394636665,0.0012723733520284112,0.3994344934737101,0.11685949678723867,0.11618476390947935,0.08114709126392633,0.23141742281898042,0.8648832379434422,0.6177693439397651
CID008460-1,0.102221992316405,0.0005582243057662231,0.41428447946087377,0.05309798402449115,0.00022302388972472376,0.3194843041387182,0.11012999186402084,0.848579269590538,0.6002754139350105
