,B Cell,Myeloid,Stroma,T Cell,Other1,Other2,rho_Spearman,rho_Pearson
CID006486-1,0.00016409584880577201,0.019171658709910822,0.1679965369970098,0.34854750572005005,0.46409483424608644,2.536847813729037e-05,0.7894079341150058,0.6922019531233535
CID006493-1,0.18565812039082358,0.0002994787964219007,0.2807327893052696,0.24869155852058059,0.2803268167342055,0.004291236252698825,0.879085835769333,0.6640926593555991
CID006494-1,0.1563853498223067,0.0007785284319034612,0.30786361992526334,0.2616458060439338,0.27300897763271686,0.00031771814387579765,0.8635335199346317,0.741232949846795
CID006494-2,0.23156326370859254,2.6975914011720805e-06,0.4505585165779991,0.23621003628906115,0.08139968348010612,0.0002658023528399336,0.7702385285512593,0.6790617433109754
CID006515-1,0.11554434331676924,0.0006745915198889566,0.25041024369465825,0.5865255276861445,0.038259738245026036,0.008585555537512933,0.7248172879751826,0.6412448560976869
CID006527-1,0.0007816586712274451,0.00021335878783234838,0.43730479326287663,0.15222342113356918,0.4091954879259393,0.00028128021855507277,0.9105697405392743,0.7761868708759069
CID006542-1,0.13057889535308048,2.5427374208607673e-05,0.23769173168554664,0.4903531077627055,0.14013142368966947,0.0012194141347893336,0.775151621833544,0.7081950025838832
CID006544-1,0.06813792345257728,0.0006683419730248561,0.4337959272930021,0.37054505015700073,0.028924059907230994,0.09792869721716402,0.7564104142303195,0.6874355999279698
CID006548-1,0.18849356176208637,0.0004950206903092079,0.2748320396477115,0.3461141284118307,0.1879276669308378,0.0021375825572244826,0.7199703631788045,0.678953251781283
CID006551-1,0.0005940573962463377,0.0017214251725070873,0.346694565197669,0.3325668662998899,0.31511449450473844,0.003308591428949198,0.7562115611314697,0.6651714823894355
CID007329-1,2.122261163878612e-05,0.000592172947529388,0.42882729649195633,0.22997946909728123,0.33976422724721805,0.0008156116043761762,0.8241361411282011,0.7403625561824038
CID007330-1,0.00035211888962817457,0.03881428619069994,0.26426755457911577,0.49264854893296656,0.1924418125830794,0.011475678824510152,0.8126595214675336,0.585433073024007
CID007338-1,0.11304600030420289,0.06691005500984146,0.37055362807861997,0.4120560703366483,0.021230378635077398,0.01620386763561005,0.8714288907488309,0.6867963532289484
CID007346-1,0.005861742592152246,0.0003262973150535353,0.49745503116183,0.4734586102646699,0.020900194356924195,0.0019981243093701332,0.9086215081638422,0.7646216163492332
CID007352-1,0.33772132838201285,0.00020530932541792105,0.26561894297529137,0.1222487209091784,0.27412664676659826,7.905164150129186e-05,0.7347568375467867,0.6726942007986566
CID007358-1,0.2535869784598486,0.0016779286354870377,0.2177637059215292,0.2847277798597839,0.24190391310260562,0.0003396940207456192,0.751262290725485,0.6651352490989233
CID007659-1,0.1275208547930613,0.013473823710517759,0.0597772008970415,0.43070373695007913,0.3609264223583235,0.007597961290976851,0.786163947828975,0.7202520842209763
CID007661-1,0.1595853550716424,0.0005850188667003203,0.23776955292253468,0.40866093581915847,0.19061334210617703,0.0027857952137871093,0.7971449010615603,0.6170036866640338
CID007664-1,0.026739921907104232,0.01712403433172856,0.43311792408797123,0.2835178616032907,0.14336463331349367,0.09613562475641177,0.8369525211630475,0.7119603509516791
CID007665-1,0.0796465452567739,0.007986682879871117,0.4052961877994681,0.32244481472576514,0.16588529608411376,0.0187404732540081,0.7315744597244559,0.6462065994298621
CID007666-1,0.042291191965147724,0.003919684655380099,0.27263687855595,0.2720328374158273,0.3058214932578179,0.10329791414987706,0.817188264483746,0.7577414164127096
CID007667-1,0.0899911903096684,0.0018976826394778254,0.09328703899061522,0.43838834343126254,0.3587119273755725,0.017723817253403523,0.807140940969073,0.7072760932348157
CID007672-1,0.2826281001890044,0.03994706892930517,0.3065745132092947,0.014997040194933432,0.305834562874823,0.05001871460263926,0.6761554235238446,0.6085497583535051
CID007676-1,0.1637151726314592,1.888442378245837e-06,0.44850520563309365,0.27980626679263443,0.10758434858110526,0.00038711791932919293,0.8420124610670371,0.7416493263881614
CID007681-1,0.21245570156904547,0.0023478590285090253,0.17050532028719834,0.41090230998584065,0.20351490947728676,0.0002738996521198004,0.711035883547732,0.6512487877333276
CID007688-1,0.00980883034438051,0.0003496643062934087,0.41058886701713143,0.16902290684566557,0.2906004006344032,0.11962933085212589,0.7060773564793665,0.6876907039578799
CID007694-1,0.01611538198838548,0.0010825267892608339,0.29866222096086015,0.42947356224774513,0.25402923941448363,0.0006370685992645669,0.7517655940513687,0.6823575768189354
CID007697-1,0.05095099758268397,3.25542267576076e-05,0.3763586663580888,0.20926461526578138,0.3567935071268167,0.0065996594398716356,0.8972739234296956,0.7416835587097549
CID007704-1,0.001884773800261392,0.002971518129080031,0.31859676684885124,0.5192435013675912,0.15326085613556414,0.0040425837186519415,0.7750945386451208,0.6505928480001951
CID007707-1,0.26564803918894425,0.0008818454013291852,0.28511385104671294,0.1938414246576048,0.25402701766086266,0.0004878220445461473,0.7686231952133673,0.6971884392185627
CID007825-1,0.1483893670825917,0.0007797270286783161,0.045797843362105524,0.39532551142009986,0.40257082203231837,0.0071367290742063326,0.7758426145403773,0.7294206069654333
CID007827-1,0.20575873479176987,9.529060831376511e-05,0.07713534492992394,0.4502402323587423,0.266284263165245,0.0004861341460051807,0.8131449603989658,0.7631018019926946
CID007829-1,0.1438624849354733,0.0036019884097064766,0.18588027946949656,0.6026272512903336,0.058038414632860934,0.00598958126212913,0.8072741195451345,0.7070380568031527
CID007845-1,0.10056534685572358,0.004515963502858068,0.2789001365924348,0.25043793209480336,0.2685124345190049,0.09706818643517545,0.7058248624358149,0.5207355873025681
CID007847-1,0.24269932114750278,0.005217860589917881,0.3565290900342361,0.3441928127086033,0.04333639724325839,0.008024518276481452,0.8792193382057524,0.7525525426812009
CID007849-1,0.26599370971154374,0.00037021199676459866,0.2709906949686978,0.22827274647779985,0.2328808795502356,0.0014917572949583603,0.8039677571824582,0.7301649019095879
CID008109-1,0.29390111122614215,0.0014325819658820393,0.017339541389245584,0.3763051137755317,0.3084742982853045,0.0025473533578940126,0.8311172083860983,0.7870290913639761
CID008114-1,0.3136597153381086,0.038021052684000516,0.13075007873052813,0.3495021679726161,0.15152657385218976,0.016540411422556797,0.8249944817450936,0.6840824595287134
CID008122-1,0.0037770790759826746,0.0011209804463471556,0.45603135000343475,0.43775383607097135,0.10129794831936881,1.8806083895269356e-05,0.7075590023493177,0.6586375475670821
CID008457-1,0.009610609235083424,0.003637074161704943,0.5124732384569349,0.2869700328597562,0.1524718931288316,0.034837152157688914,0.8593222566906777,0.7024808272323992
CID008459-1,0.0865605298283288,0.00042861196355390113,0.40061549380854083,0.24508994226883168,0.26153180299827317,0.005773619132471582,0.7894045415679017,0.7017989316307407
CID008460-1,0.1529777525356606,0.0022237866514240603,0.4744637681338117,0.10795324621873469,0.2622600068810764,0.00012143957929251261,0.7945650840387682,0.7216740792965614
