,Epithelium,Myeloid,Stroma,T Cell,Other1,Other2,Other3,rho_Spearman,rho_Pearson
CID006336-1,0.03508041624535339,0.002292046470950234,0.15658129148978644,0.15536394660605346,0.15666568568679287,0.30448064161391153,0.18953597188715202,0.8467875669296419,0.6100404800043586
CID006340-1,5.772557546503894e-05,0.03853740546363107,0.11366899531036322,0.3165786770716391,0.05100299825745211,0.1660129506656987,0.31414124765575074,0.8615461791427457,0.5641665552177051
CID006468-1,0.08333751378526888,0.0003809388442088859,0.05383448868569857,0.22508305097932021,0.14460273041797903,0.24487486443179912,0.2478864128557254,0.6416062572711847,0.5175735631781709
CID006469-1,0.10674431551679374,2.5389438760912443e-05,0.07120819247991321,0.3714221922483771,0.23337270753181422,0.12885902517304654,0.08836817761129431,0.7352996727972996,0.62616989693837
CID006478-1,0.024033359895645607,0.0004003556524268386,0.2704598311679114,0.20903044622407432,0.07600349469619568,0.187435478302016,0.23263703406173025,0.8262575852095503,0.5664800748676451
CID006480-1,0.0004383159116833783,0.005491565969476531,0.1367822220011671,0.3966465151775156,0.0010723396697111896,0.18053037710692305,0.27903866416352313,0.8254509889154532,0.6114825788967233
CID006484-1,0.004060463459278241,0.001236986495299194,0.18716352988585933,0.2774243793221256,0.06561174700057608,0.1623024329859096,0.302200460850952,0.7934038152148931,0.5875221619835106
CID006486-1,0.0010444756534136442,0.018821513574979794,0.10345642380268841,0.36044812466690174,0.020000755293743684,0.17301428967123578,0.3232144173370369,0.7867896495985884,0.5702011161717417
CID006493-1,0.024051875699156216,0.0005076763665232047,0.19391491031870675,0.2950107680182334,6.031853328024602e-05,0.1067929108793783,0.379661540184722,0.8667413687392969,0.6203121482960287
CID006494-1,0.0026812100040816056,0.0002473598250709849,0.16511554298957457,0.244872294838656,0.029002122346638824,0.28145362493962706,0.27662784505635085,0.8246130181662416,0.6137427901243653
CID006494-2,0.06649495359288493,0.0005970281967434166,0.25536779157962447,0.1046966277917125,0.010764863172590192,0.17558875017821604,0.3864899854882283,0.7447331529040674,0.5908374219378889
CID006515-1,0.01850699881841598,3.5186854089189135e-05,0.1282783926432863,0.31799028831858533,0.002537764054627062,0.2991916076482791,0.233459761662717,0.7682883935658836,0.5485775797166305
CID006527-1,0.03914848979746671,0.019761574905348855,0.5776556747426849,0.10294608498026969,0.004527566042165553,0.1769861502986282,0.07897445923343617,0.9156585692444515,0.6635125116272151
CID006542-1,0.026426225175653004,0.00011436469510654821,0.07344742867151093,0.3359403880495256,0.03066279423753351,0.34203371805940247,0.19137508111126791,0.7610264506909956,0.5442372928668502
CID006544-1,0.07516396443109385,0.0038844036288406426,0.27866540339716117,0.13068175120809764,0.00015764297435244,0.1319379522150733,0.3795088821453809,0.802053955158189,0.597662479198193
CID006548-1,5.6353286359172385e-05,0.004042336107663235,0.2919180977338598,0.22102802086187268,0.10320547246528222,0.0874380368322217,0.29231168271274116,0.7919128098288517,0.5510092385610531
CID006551-1,0.011288101931539167,0.002519560082593683,0.3569344008801346,0.251803414919862,0.0005739525201721301,0.327029825959767,0.04985074370593134,0.8390634836569304,0.5859530918837605
CID007329-1,0.0025975641411735357,0.004627183981272974,0.47375102696817606,0.08140484800583078,0.10569036663986646,0.3225476062785147,0.009381403985165498,0.8542630839839339,0.6121334727290674
CID007330-1,0.061161933945461565,0.1033424778024454,0.18696040063908648,0.6211298234592523,0.00011958708684394366,0.027138798729406742,0.00014697833750355912,0.8321695272367917,0.6055636982134339
CID007338-1,0.0037861700622755777,0.010729927704463146,0.109509728819749,0.21762946586373502,0.0050812064131691695,0.274602793686238,0.37866070745037006,0.8665372661968784,0.6210553635374763
CID007346-1,0.052382093319716695,0.0002322007841461568,0.15428634745879632,0.2789554964646088,0.20140993397015006,0.1544644360894184,0.15826949191316353,0.7549423537401846,0.6347653641022233
CID007352-1,0.025964142627386815,0.00042305680180774297,0.2317214347980305,0.03873678559521966,0.056618171645822016,0.24050632809631867,0.4060300804354146,0.7228960521157217,0.5217740080149504
CID007358-1,0.007895725150961038,0.014078454868550786,0.22022549432579605,0.21914436593535092,0.09353585503537434,0.04504916818838748,0.4000709364955793,0.803664571615967,0.5930794582066847
CID007659-1,0.037015756193173516,0.0024475585607786616,0.02754441130202233,0.40927368037217515,0.015231818373012582,0.26886582847238705,0.2396209467264506,0.7573151599332487,0.5887511210553924
CID007661-1,0.009315301762943625,0.009817679780982708,0.12488632327720518,0.3284004060558584,0.0027452705784849854,0.2820684949722665,0.2427665235722587,0.8024569037592569,0.5860950203965463
CID007664-1,0.04402987699328286,0.0010239505755442286,0.295574691603091,0.11786828774660972,0.0428665026637623,0.0887219285480015,0.4099147618697084,0.7721546126903535,0.6333272280481972
CID007665-1,0.0007769131468998479,0.0005029964417824755,0.27711659416310813,0.1468343473210604,0.07847402806783145,0.24312263454169883,0.2531724863176189,0.8420313690486465,0.5755518015420473
CID007666-1,0.010648623475241646,1.0636881293178657e-05,0.20183755546057053,0.2484755605660209,0.18721871042801516,0.11778528991613754,0.23402362327272097,0.7844954146303471,0.5845683130591803
CID007667-1,0.0038830488540668277,0.0024754629799876434,0.042301748775031234,0.5979579899534087,0.062389384116838434,0.024863198509909968,0.26612916681075727,0.8023997741389045,0.6200219717995621
CID007672-1,0.000187177032234941,0.010691017615211754,0.4026717948009184,0.01258981245537969,0.0005230054570987548,0.1651807513953096,0.40815644124384687,0.7450970791322334,0.5525566766764183
CID007676-1,0.07968305206455596,0.0008868396077060044,0.23229357705882864,0.18140843296376305,0.17382645373315989,0.23851302833726873,0.09338861623471766,0.7675529219133758,0.5632630675483821
CID007681-1,0.11113400992912366,0.005457606257897349,0.10712054300187882,0.3275929673652187,0.29314940737571454,0.026920875462369202,0.12862459060779757,0.706977276090788,0.6210777979453895
CID007688-1,0.33442274359470947,0.0011207010294247942,0.21765277989602538,0.028862383887713082,0.02447497509313476,0.3798882394701241,0.013578177028868463,0.7318844757633995,0.6061825085350672
CID007694-1,0.048335407440850076,0.00018450962752556075,0.21279797882428855,0.24822571785429098,0.19951247242407238,0.16570085656937153,0.12524305725960097,0.8198742969580258,0.585435863233824
CID007697-1,0.009359816788852369,0.010497634592740142,0.23311686549831726,0.16694552425325532,0.1116828045104385,0.23401692277267996,0.23438043158371644,0.809237913510777,0.6054056130632784
CID007704-1,0.03600725447952372,0.00011078372608027144,0.19461546861647344,0.2923952941826831,0.01893246238596531,0.21816380519422443,0.23977493141504969,0.8568812726884476,0.5879986037943341
CID007707-1,0.1781483728572935,0.0006092354205239291,0.24272548613527367,0.11642193951654425,0.15874196488696177,0.02239813681650413,0.28095486436689876,0.69358736953193,0.5516084314093751
CID007825-1,0.02648332486829212,0.011691424070552493,0.029560167346078938,0.3179150741313802,0.3086197620615548,0.25542764369817783,0.050302603823963635,0.8321947162553767,0.653828622697574
CID007827-1,0.03667958304526629,0.006587791629074377,0.04826840339541884,0.26876866969500224,0.11605108826055525,0.25814697276557,0.265497491209113,0.7847553495979283,0.6070396743704749
CID007829-1,4.6093517464618613e-05,0.018254519100176867,0.05481354333892708,0.6267080831869833,0.005565932425709926,0.11515962804657627,0.17945220038416188,0.8241866019381618,0.5549570599278505
CID007845-1,0.05452484000231728,0.06123789873534172,0.2840739937589306,0.19425842437989524,4.4590847918735935e-05,0.2552343315902068,0.15062592068538963,0.8376190924659179,0.6143445019351969
CID007847-1,0.01633583107162498,0.01950233864300801,0.10384729559320456,0.2686989802102816,0.13780010063119164,0.16464320112601788,0.28917225272467123,0.8022089646331174,0.6049965863210779
CID007849-1,0.06180896678237857,0.0003998951264090398,0.196019763736709,0.18044437819178372,0.340714833830349,0.03750281251529002,0.18310934981708066,0.8131448198659135,0.5354110266462363
CID008109-1,0.05250139747657264,0.047541928130923346,0.0024984922496896515,0.3931568423546677,0.08264615564508652,0.03122054354905676,0.3904346405940034,0.7658161524465994,0.5949718480897449
CID008114-1,0.0019458785165846128,0.032517613757786834,0.054944642849061746,0.31229742996968646,0.061770985622124214,0.23939288408518192,0.2971305651995742,0.7920860785154575,0.6235186310137243
CID008122-1,0.15048334598942345,4.718871367436357e-05,0.3147323338790825,0.22476843827326967,0.22771922606056477,0.05153919895980137,0.030710268124183888,0.716108263933376,0.5709693045609282
CID008457-1,0.021890381526497485,0.03959318583015785,0.463668546620356,0.163671511336917,0.0029712672236454525,0.1745732566323153,0.1336318508301109,0.8884774114896126,0.644509186244847
CID008459-1,0.04602294912469128,3.8420725755868314e-05,0.3305116532908837,0.09599380006441395,0.09088343826036227,0.17409326451960047,0.2624564740142924,0.8303106542709917,0.5729254864940786
CID008460-1,0.018493077464619263,4.294574263500985e-05,0.42710223977499107,0.03921979853726564,0.0030777828373440433,0.4068316246286349,0.10523253101451006,0.799473917080179,0.5836284479621603
