,Tumor_model_annot,Blood_model_annot,Dataset
SRX4978128,CD8_T_cells,CD8_T_cells,GSE122149
SRX5312175,,NK_cells,GSE125916
SRX3185048,CD4_T_cells,CD4_T_cells,GSE103844
SRX5656681,CD4_T_cells,CD4_T_cells,GSE129522
SRX5294227,NK_cells,NK_cells,GSE125686
SRX4161204,CD8_T_cells,CD8_T_cells,GSE115305
SRX2271054,,CD4_T_cells,GSE89225
SRX4012362,Myeloid_cells,Myeloid_cells,GSE113839
SRX4374826,CD8_T_cells,CD8_T_cells,GSE116865
SRX1433438,Myeloid_cells,Myeloid_cells,GSE75042
SRX2469650,Monocytes,Monocytes,GSE93265
SRX4281665,,CD4_T_cells,GSE116139
SRX2954003,Non_plasma_B_cells,B_cells,GSE100441
SRX4161201,CD8_T_cells,CD8_T_cells,GSE115305
SRX2563423,,B_cells,GSE94897
SRX5444151,,CD4_T_cells,GSE127457
SRX3263481,CD8_T_cells,CD8_T_cells,GSE104744
SRX2140254,CD4_T_cells,CD4_T_cells,GSE86452
SRX1921647,,PDC,GSE84204
SRX3797668,,CD8_T_cells,GSE111892
ERX2283329,,CD8_T_cells,E-MTAB-6370
SRX4089117,NK_cells,NK_cells,GSE114519
SRX7052823,,Neutrophils,GSE139358
ERX2237274,Tregs,CD4_T_cells,E-MTAB-6158
SRX5806650,,CD4_T_cells,GSE130882
SRX2532718,CD4_T_cells,CD4_T_cells,GSE94396
SRX4277194,CD4_T_cells,CD4_T_cells,GSE116073
SRX3184901,CD4_T_cells,CD4_T_cells,GSE103844
SRX3848495,Th1_cells,CD4_T_cells,GSE112341
SRX3263487,CD8_T_cells,CD8_T_cells,GSE104744
SRX6369356,,NK_cells,GSE133383
SRX4453801,NK_cells,NK_cells,GSE117614
SRX5294228,NK_cells,NK_cells,GSE125686
SRX3058223,,Granulocytes,GSE102215
SRX5028404,T_helpers,CD4_T_cells,GSE122735
SRX2875306,CD8_T_cells_PD1_low,CD8_T_cells,GSE99531
SRX4518778,Non_plasma_B_cells,Non_switched_memory_B_cells,GSE118254
SRX6404725,,CD4_T_cells,GSE133822
SRX3399203,B_cells,Non_switched_memory_B_cells,GSE107011
SRX6404673,,CD4_T_cells,GSE133822
SRX2532713,CD4_T_cells,CD4_T_cells,GSE94396
SRX3630258,T_helpers,CD4_T_cells,GSE109843
SRX4453815,CD8_T_cells,CD8_T_cells,GSE117614
SRX5686059,CD4_T_cells,CD4_T_cells,GSE129829
SRX4978129,CD8_T_cells,CD8_T_cells,GSE122149
SRX865113,CD4_T_cells,CD4_T_cells,GSE65621
SRX3361953,Neutrophils,Neutrophils,GSE106520
SRX1959645,Monocytes,Monocytes,GSE84531
SRX6404655,,CD4_T_cells,GSE133822
SRX2323837,NK_cells,NK_cells,GSE89484
SRX2558452,T_helpers,CD4_T_cells,GSE94859
SRX4456910,CD4_T_cells,CD4_T_cells,GSE117655
SRX2965755,CD8_T_cells,CD8_T_cells,GSE100624
SRX6369373,,NK_cells,GSE133383
ERX211582,Myeloid_cells,Myeloid_cells,E-SYBR-3
SRX2614894,T_helpers,CD4_T_cells,GSE95754
SRX5019113,T_cells,T_cells,GSE122624
SRX3185035,CD4_T_cells,CD4_T_cells,GSE103844
SRX2532740,CD4_T_cells,CD4_T_cells,GSE94396
SRX6404680,,CD8_T_cells,GSE133822
SRX3797637,,CD8_T_cells,GSE111892
SRX4603403,T_helpers,CD4_T_cells,GSE118974
SRX6404763,,Monocytes,GSE133822
SRX6404657,,CD4_T_cells,GSE133822
SRX3184908,CD4_T_cells,CD4_T_cells,GSE103844
SRX4277198,CD4_T_cells,CD4_T_cells,GSE116073
SRX3824909,CD4_T_cells,CD4_T_cells,GSE112101
SRX5358455,Non_plasma_B_cells,Non_plasma_B_cells,GSE126379
SRX828390,Neutrophils,Neutrophils,GSE64655
SRX4277202,CD4_T_cells,CD4_T_cells,GSE116073
SRX4374821,CD8_T_cells,CD8_T_cells,GSE116865
SRX2200814,,CD4_T_cells,GSE87505
SRX5732393,NK_cells,NK_cells,GSE130284
SRX5294204,NK_cells,NK_cells,GSE125686
SRX375689,CD4_T_cells,CD4_T_cells,GSE52260
SRX5624314,,T_cells,GSE129196
SRX4456908,CD4_T_cells,CD4_T_cells,GSE117655
SRX3184983,CD4_T_cells,CD4_T_cells,GSE103844
SRX828405,T_cells,T_cells,GSE64655
SRX2875319,CD8_T_cells_PD1_low,CD8_T_cells,GSE99531
SRX2558442,T_helpers,CD4_T_cells,GSE94859
ERX2237273,Tregs,CD4_T_cells,E-MTAB-6158
SRX3263449,CD8_T_cells,CD8_T_cells,GSE104744
SRX6404605,,Monocytes,GSE133822
SRX2532745,CD4_T_cells,CD4_T_cells,GSE94396
SRX5282947,,CD4_T_cells,GSE125504
SRX1950676,,CD8_T_cells,GSE84445
SRX5294178,NK_cells,NK_cells,GSE125686
SRX2954006,Non_plasma_B_cells,B_cells,GSE100441
SRX5702700,,Monocytes,GSE129935
SRX4603407,CD4_T_cells,CD4_T_cells,GSE118974
SRX4599897,CD4_T_cells,CD4_T_cells,GSE118951
SRX7052827,,Neutrophils,GSE139358
SRX2378927,CD4_T_cells,CD4_T_cells,GSE90569
SRX4277220,CD4_T_cells,CD4_T_cells,GSE116073
SRX4416644,Tregs,CD4_T_cells,GSE117481
ERX2283316,,CD4_T_cells,E-MTAB-6370
SRX5162217,Monocytes,Monocytes,GSE124073
SRX1903075,,Neutrophils,GSE84153
SRX2635657,T_helpers,CD4_T_cells,GSE96538
SRX5316064,Monocytes,Monocytes,GSE117970
SRX5806668,,CD4_T_cells,GSE130882
SRX3263420,CD4_T_cells,CD4_T_cells,GSE104744
SRX5961732,,B_cells,GSE132138
SRX3399255,Th2_cells,CD4_T_cells,GSE107011
SRX3399237,Monocytes,Non_classical_monocytes,GSE107011
SRX2200796,,CD8_T_cells,GSE87505
SRX3399252,T_helpers,CD4_T_cells,GSE107011
SRX1959664,T_cells,T_cells,GSE84531
SRX6404719,,CD4_T_cells,GSE133822
SRX5702698,,Monocytes,GSE129935
SRX2633224,Tregs,CD4_T_cells,GSE96075
SRX6404634,,Monocytes,GSE133822
SRX2585453,B_cells,B_cells,GSE95282
SRX5444141,,CD4_T_cells,GSE127457
SRX5312182,,NK_cells,GSE125916
SRX5162194,Monocytes,Monocytes,GSE124073
SRX4518723,Non_plasma_B_cells,Non_switched_memory_B_cells,GSE118254
SRX2200771,,CD8_T_cells,GSE87505
SRX4416650,Tregs,CD4_T_cells,GSE117481
ERX2283338,,CD8_T_cells,E-MTAB-6370
SRX5294225,NK_cells,NK_cells,GSE125686
SRX5686072,CD4_T_cells,CD4_T_cells,GSE129829
SRX3184903,CD4_T_cells,CD4_T_cells,GSE103844
SRX6404751,,Monocytes,GSE133822
SRX5162196,Monocytes,Monocytes,GSE124073
SRX2378891,CD4_T_cells,CD4_T_cells,GSE90569
SRX6680447,,CD8_T_cells,GSE135582
SRX5019117,T_cells,T_cells,GSE122624
SRX4289106,Non_plasma_B_cells,Non_plasma_B_cells,GSE106851
SRX5806671,,CD4_T_cells,GSE130882
SRX6404580,,CD8_T_cells,GSE133822
SRX3185034,CD4_T_cells,CD4_T_cells,GSE103844
SRX2200822,,CD8_T_cells,GSE87505
ERX397866,CD4_T_cells,CD4_T_cells,E-MTAB-2319
SRX5019101,gd_T_Cells,T_cells,GSE122624
SRX2200776,,CD4_T_cells,GSE87505
SRX5600967,NK_cells,NK_cells,GSE129044
SRX4044529,CD4_T_cells,CD4_T_cells,GSE114065
SRX5123152,Monocytes,Monocytes,GSE123532
SRX4456881,CD4_T_cells,CD4_T_cells,GSE117655
SRX3263460,CD8_T_cells,CD8_T_cells,GSE104744
SRX4456877,CD4_T_cells,CD4_T_cells,GSE117655
SRX5702685,,Monocytes,GSE129935
SRX5316065,Monocytes,Monocytes,GSE117970
SRX5806669,,CD4_T_cells,GSE130882
SRX372061,Monocytes,Monocytes,GSE51984
SRX2585771,CD4_T_cells,CD4_T_cells,GSE95297
ERX3267672,,Non_plasma_B_cells,E-MTAB-7805
SRX4456905,CD4_T_cells,CD4_T_cells,GSE117655
SRX5600975,NK_cells,NK_cells,GSE129044
SRX3185027,CD4_T_cells,CD4_T_cells,GSE103844
SRX3185020,CD4_T_cells,CD4_T_cells,GSE103844
SRX6404752,,Monocytes,GSE133822
SRX6369365,,NK_cells,GSE133383
SRX7052837,,Neutrophils,GSE139358
SRX3629836,NK_cells,NK_cells,GSE109823
SRX5019105,gd_T_Cells,T_cells,GSE122624
SRX1921645,,PDC,GSE84204
SRX734215,CD8_T_cells,CD8_T_cells,GSE62408
SRX6727415,,Monocytes,GSE135902
SRX5600970,NK_cells,NK_cells,GSE129044
SRX2585750,CD4_T_cells,CD4_T_cells,GSE95297
SRX5600966,NK_cells,NK_cells,GSE129044
SRX4456880,CD4_T_cells,CD4_T_cells,GSE117655
SRX3399210,,PDC,GSE107011
SRX3848482,CD4_T_cells,CD4_T_cells,GSE112341
SRX5316097,Monocytes,Monocytes,GSE117970
SRX259447,Non_plasma_B_cells,Non_plasma_B_cells,GSE45734
SRX3184889,CD4_T_cells,CD4_T_cells,GSE103844
SRX1959667,T_cells,T_cells,GSE84531
ERX1819164,Tregs,CD4_T_cells,E-MTAB-5322
SRX3361950,Neutrophils,Neutrophils,GSE106520
SRX6727409,,Monocytes,GSE135902
SRX2532684,CD4_T_cells,CD4_T_cells,GSE94396
SRX5686094,CD4_T_cells,CD4_T_cells,GSE129829
ERX2283318,,CD4_T_cells,E-MTAB-6370
SRX2558458,T_helpers,CD4_T_cells,GSE94859
SRX828432,T_cells,T_cells,GSE64655
SRX5294211,NK_cells,NK_cells,GSE125686
SRX2558433,T_helpers,CD4_T_cells,GSE94859
SRX4044526,CD4_T_cells,CD4_T_cells,GSE114065
SRX7052813,,Neutrophils,GSE139358
SRX5162198,Monocytes,Monocytes,GSE124073
SRX6457092,,CD4_T_cells,GSE134416
SRX5318310,Non_plasma_B_cells,Non_plasma_B_cells,GSE125974
SRX4044580,CD4_T_cells,CD4_T_cells,GSE114065
SRX4456876,CD4_T_cells,CD4_T_cells,GSE117655
SRX3298796,Myeloid_cells,Myeloid_cells,GSE105142
SRX2585746,CD4_T_cells,CD4_T_cells,GSE95297
SRX6077941,Non_plasma_B_cells,B_cells,GSE132835
SRX1950662,,CD8_T_cells,GSE84445
SRX3733724,Non_plasma_B_cells,Non_switched_memory_B_cells,GSE110999
SRX2953987,Non_plasma_B_cells,B_cells,GSE100441
SRX2378903,T_helpers,CD4_T_cells,GSE90569
SRX3184904,CD4_T_cells,CD4_T_cells,GSE103844
SRX5316082,Monocytes,Monocytes,GSE117970
SRX4198454,T_cells,T_cells,GSE115686
SRX5702703,,Monocytes,GSE129935
SRX3263511,Monocytes,Monocytes,GSE104744
SRX680580,Neutrophils,Neutrophils,GSE60424
SRX2271034,,CD4_T_cells,GSE89225
SRX680664,CD4_T_cells,CD4_T_cells,GSE60424
SRX4495372,Monocytes,Monocytes,GSE117970
SRX2200859,,CD8_T_cells,GSE87505
SRX6404621,,CD8_T_cells,GSE133822
SRX3361959,Neutrophils,Neutrophils,GSE106520
SRX2635636,CD4_T_cells,CD4_T_cells,GSE96538
SRX7052825,,Neutrophils,GSE139358
SRX680600,Neutrophils,Neutrophils,GSE60424
SRX682475,CD4_T_cells,CD4_T_cells,GSE60482
SRX680656,Monocytes,Monocytes,GSE60424
SRX2532681,CD4_T_cells,CD4_T_cells,GSE94396
SRX5316089,Monocytes,Monocytes,GSE117970
SRX1950672,,CD8_T_cells,GSE84445
SRX2875305,CD8_T_cells_PD1_high,CD8_T_cells,GSE99531
SRX4107917,CD4_T_cells,CD4_T_cells,GSE114716
SRX3184910,CD4_T_cells,CD4_T_cells,GSE103844
SRX4518794,Non_plasma_B_cells,Non_switched_memory_B_cells,GSE118254
SRX3263533,Monocytes,Monocytes,GSE104744
SRX3184972,CD4_T_cells,CD4_T_cells,GSE103844
SRX2875337,CD8_T_cells,CD8_T_cells,GSE99531
SRX182675,Neutrophils,Neutrophils,GSE40548
SRX5686044,CD4_T_cells,CD4_T_cells,GSE129829
SRX5316091,Monocytes,Monocytes,GSE117970
SRX2271087,,CD4_T_cells,GSE89225
SRX4677044,CD8_T_cells,CD8_T_cells,GSE119918
SRX1066931,Neutrophils,Neutrophils,GSE70068
SRX5572938,,CD4_T_cells,GSE128822
SRX4453813,NK_cells,NK_cells,GSE117614
SRX3263500,Monocytes,Monocytes,GSE104744
SRX3185054,CD4_T_cells,CD4_T_cells,GSE103844
SRX3263429,CD4_T_cells,CD4_T_cells,GSE104744
SRX5806631,,CD4_T_cells,GSE130882
ERX1819163,Tregs,CD4_T_cells,E-MTAB-5322
SRX6404661,,CD4_T_cells,GSE133822
SRX3399198,Th2_cells,CD4_T_cells,GSE107011
SRX5162200,Monocytes,Monocytes,GSE124073
SRX3185007,CD4_T_cells,CD4_T_cells,GSE103844
SRX4089115,NK_cells,NK_cells,GSE114519
SRX6404594,,Monocytes,GSE133822
SRX2469657,Myeloid_cells,Myeloid_cells,GSE93265
SRX6404652,,CD4_T_cells,GSE133822
SRX3848492,CD4_T_cells,CD4_T_cells,GSE112341
SRX865108,CD4_T_cells,CD4_T_cells,GSE65621
SRX6404786,,Monocytes,GSE133822
SRX3184974,CD4_T_cells,CD4_T_cells,GSE103844
SRX4456912,CD4_T_cells,CD4_T_cells,GSE117655
SRX3263436,CD4_T_cells,CD4_T_cells,GSE104744
SRX3263433,CD4_T_cells,CD4_T_cells,GSE104744
SRX6404640,,CD4_T_cells,GSE133822
SRX1903079,,Neutrophils,GSE84153
SRX3185052,CD4_T_cells,CD4_T_cells,GSE103844
SRX6457038,,CD4_T_cells,GSE134416
SRX2585765,CD4_T_cells,CD4_T_cells,GSE95297
SRX4797303,CD4_T_cells,CD4_T_cells,GSE112101
SRX5162210,Monocytes,Monocytes,GSE124073
SRX5028405,T_helpers,CD4_T_cells,GSE122735
SRX1262137,CD4_T_cells,CD4_T_cells,GSE73213
SRX3184902,CD4_T_cells,CD4_T_cells,GSE103844
SRX2469633,Myeloid_cells,Myeloid_cells,GSE93265
SRX1059589,Monocytes,Monocytes,GSE69905
SRX4285027,NK_cells,NK_cells,GSE116178
SRX1634963,,PDC,GSE79272
SRX4518789,Non_plasma_B_cells,Non_switched_memory_B_cells,GSE118254
SRX4289107,Non_plasma_B_cells,Non_plasma_B_cells,GSE106851
SRX3185051,CD4_T_cells,CD4_T_cells,GSE103844
SRX4285042,NK_cells,NK_cells,GSE116178
SRX1830409,CD8_T_cells,CD8_T_cells,GSE83115
SRX4620959,CD4_T_cells,CD4_T_cells,GSE119191
SRX5358453,Non_plasma_B_cells,Non_plasma_B_cells,GSE126379
SRX656156,,Granulocytes,GSE59528
SRX5162167,Monocytes,Monocytes,GSE124073
SRX4044555,CD4_T_cells,CD4_T_cells,GSE114065
SRX3184926,CD4_T_cells,CD4_T_cells,GSE103844
SRX6727413,,Monocytes,GSE135902
SRX6404713,,CD8_T_cells,GSE133822
SRX5294182,NK_cells,NK_cells,GSE125686
SRX2532749,CD4_T_cells,CD4_T_cells,GSE94396
SRX6457049,,CD4_T_cells,GSE134416
SRX3185005,CD4_T_cells,CD4_T_cells,GSE103844
SRX3932284,CD8_T_cells,CD8_T_cells,GSE113098
SRX3678124,Non_plasma_B_cells,B_cells,GSE110417
SRX3184998,CD4_T_cells,CD4_T_cells,GSE103844
SRX2469658,Myeloid_cells,Myeloid_cells,GSE93265
SRX3298800,Myeloid_cells,Myeloid_cells,GSE105142
SRX6727392,,Monocytes,GSE135902
SRX3361948,Neutrophils,Neutrophils,GSE106520
SRX4453799,NK_cells,NK_cells,GSE117614
SRX3184966,CD4_T_cells,CD4_T_cells,GSE103844
SRX2635612,Tregs,CD4_T_cells,GSE96538
SRX2532716,CD4_T_cells,CD4_T_cells,GSE94396
SRX6727394,,Monocytes,GSE135902
SRX6369361,,NK_cells,GSE133383
SRX5423528,NK_cells,NK_cells,GSE127081
SRX2378904,CD4_T_cells,CD4_T_cells,GSE90569
SRX680608,Monocytes,Monocytes,GSE60424
SRX4277215,CD4_T_cells,CD4_T_cells,GSE116073
SRX4277200,CD4_T_cells,CD4_T_cells,GSE116073
SRX680621,Neutrophils,Neutrophils,GSE60424
SRX680577,CD8_T_cells,CD8_T_cells,GSE60424
SRX2965751,CD8_T_cells,CD8_T_cells,GSE100624
SRX5806642,,CD4_T_cells,GSE130882
SRX4277213,CD4_T_cells,CD4_T_cells,GSE116073
SRX2378901,T_helpers,CD4_T_cells,GSE90569
SRX4089114,NK_cells,NK_cells,GSE114519
SRX5806678,,CD4_T_cells,GSE130882
SRX5162209,Monocytes,Monocytes,GSE124073
SRX5019115,T_cells,T_cells,GSE122624
SRX2585749,CD4_T_cells,CD4_T_cells,GSE95297
SRX5294181,NK_cells,NK_cells,GSE125686
SRX3351231,CD8_T_cells,CD8_T_cells,GSE106420
SRX3185038,CD4_T_cells,CD4_T_cells,GSE103844
SRX5806647,,CD4_T_cells,GSE130882
SRX3702490,Non_plasma_B_cells,Non_plasma_B_cells,GSE110669
SRX6404667,,CD4_T_cells,GSE133822
SRX680555,CD4_T_cells,CD4_T_cells,GSE60424
SRX3932273,CD8_T_cells,CD8_T_cells,GSE113098
SRX5236163,T_cells,T_cells,GSE124876
SRX3058224,,Granulocytes,GSE102215
SRX5019118,T_cells,T_cells,GSE122624
SRX5128305,Neutrophils,Neutrophils,GSE123785
SRX3184884,CD4_T_cells,CD4_T_cells,GSE103844
SRX3184947,CD4_T_cells,CD4_T_cells,GSE103844
SRX2458652,,CD8_T_cells,GSE83637
SRX2321316,,PDC,GSE89442
SRX5702689,,Monocytes,GSE129935
SRX3594696,NK_cells,NK_cells,GSE109542
SRX6404653,,CD4_T_cells,GSE133822
SRX1950663,,CD4_T_cells,GSE84445
SRX6404707,,CD4_T_cells,GSE133822
ERX2237272,Tregs,CD4_T_cells,E-MTAB-6158
ERX2283313,,CD4_T_cells,E-MTAB-6370
SRX7052857,,Neutrophils,GSE139358
SRX682478,CD4_T_cells,CD4_T_cells,GSE60482
SRX6404613,,CD4_T_cells,GSE133822
SRX5294217,NK_cells,NK_cells,GSE125686
SRX680572,CD8_T_cells,CD8_T_cells,GSE60424
SRX2458659,,CD8_T_cells,GSE83637
SRX5557481,NK_cells,NK_cells,GSE128696
SRX2200754,,CD8_T_cells,GSE87505
SRX2585761,CD4_T_cells,CD4_T_cells,GSE95297
SRX2264060,Monocytes,Monocytes,GSE89323
SRX865094,CD4_T_cells,CD4_T_cells,GSE65621
SRX5294205,NK_cells,NK_cells,GSE125686
SRX3185045,CD4_T_cells,CD4_T_cells,GSE103844
SRX4495373,Monocytes,Monocytes,GSE117970
SRX5874329,Monocytes,Monocytes,GSE131552
SRX6404624,,CD8_T_cells,GSE133822
SRX2633221,Tregs,CD4_T_cells,GSE96075
SRX2378917,CD4_T_cells,CD4_T_cells,GSE90569
SRX4012383,Myeloid_cells,Myeloid_cells,GSE113839
SRX3184916,CD4_T_cells,CD4_T_cells,GSE103844
SRX3361945,Neutrophils,Neutrophils,GSE106520
SRX3644629,CD4_T_cells,CD4_T_cells,GSE110097
SRX3184893,CD4_T_cells,CD4_T_cells,GSE103844
SRX2875327,CD8_T_cells,CD8_T_cells,GSE99531
SRX4377261,Neutrophils,Neutrophils,GSE116899
SRX6404730,,CD8_T_cells,GSE133822
SRX4615404,Non_plasma_B_cells,Non_plasma_B_cells,GSE119103
SRX2585457,B_cells,B_cells,GSE95282
SRX1562195,Monocytes,Monocytes,GSE77598
ERX2283317,,CD4_T_cells,E-MTAB-6370
SRX5162231,Monocytes,Monocytes,GSE124073
SRX4074883,CD4_T_cells,CD4_T_cells,GSE114407
ERX2283336,,CD8_T_cells,E-MTAB-6370
ERX1973414,CD4_T_cells,CD4_T_cells,E-MTAB-5622
SRX2370313,Tregs,CD4_T_cells,GSE90468
SRX2469648,Myeloid_cells,Myeloid_cells,GSE93265
SRX6457073,,CD4_T_cells,GSE134416
SRX3049462,CD4_T_cells,CD4_T_cells,GSE102045
SRX4797312,Non_plasma_B_cells,B_cells,GSE112101
SRX3361938,Neutrophils,Neutrophils,GSE106520
SRX7052814,,Neutrophils,GSE139358
SRX3405804,B_cells,B_cells,GSE107111
SRX682480,CD4_T_cells,CD4_T_cells,GSE60482
SRX680601,Monocytes,Monocytes,GSE60424
SRX6369360,,NK_cells,GSE133383
SRX4620973,,CD4_T_cells,GSE119192
SRX1959676,T_cells,T_cells,GSE84531
SRX6404578,,CD8_T_cells,GSE133822
SRX4996419,CD4_T_cells,CD4_T_cells,GSE122321
SRX828422,NK_cells,NK_cells,GSE64655
SRX5557483,NK_cells,NK_cells,GSE128696
SRX4089113,NK_cells,NK_cells,GSE114519
SRX1066926,Neutrophils,Neutrophils,GSE70068
SRX6404700,,CD4_T_cells,GSE133822
SRX5686028,CD4_T_cells,CD4_T_cells,GSE129829
SRX3185025,CD4_T_cells,CD4_T_cells,GSE103844
SRX182676,Neutrophils,Neutrophils,GSE40548
SRX828392,Neutrophils,Neutrophils,GSE64655
SRX6404585,,CD8_T_cells,GSE133822
SRX1066927,Neutrophils,Neutrophils,GSE70068
SRX1881732,CD4_T_cells,CD4_T_cells,GSE83808
SRX6404672,,CD4_T_cells,GSE133822
SRX4277195,CD4_T_cells,CD4_T_cells,GSE116073
SRX734210,NK_cells,NK_cells,GSE62408
SRX4285020,NK_cells,NK_cells,GSE116178
SRX4677051,CD8_T_cells,CD8_T_cells,GSE119918
SRX3410735,CD8_T_cells_PD1_low,CD8_T_cells,GSE100860
SRX4677046,CD8_T_cells,CD8_T_cells,GSE119918
SRX5686039,CD4_T_cells,CD4_T_cells,GSE129829
SRX4518786,Non_plasma_B_cells,Non_switched_memory_B_cells,GSE118254
SRX2321306,,PDC,GSE89442
SRX5162213,Monocytes,Monocytes,GSE124073
SRX4074947,Monocytes,Monocytes,GSE114407
SRX1921650,,PDC,GSE84204
SRX3185032,CD4_T_cells,CD4_T_cells,GSE103844
SRX6404694,,CD4_T_cells,GSE133822
SRX2875309,CD8_T_cells,CD8_T_cells,GSE99531
SRX5609048,Neutrophils,Neutrophils,GSE129093
SRX6369366,,NK_cells,GSE133383
SRX5162190,Monocytes,Monocytes,GSE124073
SRX7052824,,Neutrophils,GSE139358
SRX5624324,,T_cells,GSE129196
SRX4495367,Monocytes,Monocytes,GSE117970
SRX6404664,,CD4_T_cells,GSE133822
SRX3629833,NK_cells,NK_cells,GSE109823
SRX105931,Non_plasma_B_cells,Non_plasma_B_cells,GSE33772
SRX4797304,CD4_T_cells,CD4_T_cells,GSE112101
SRX828402,T_cells,T_cells,GSE64655
SRX3932276,CD8_T_cells,CD8_T_cells,GSE113098
SRX3184915,CD4_T_cells,CD4_T_cells,GSE103844
SRX2267398,CD8_T_cells,CD8_T_cells,GSE89134
SRX5702681,,Monocytes,GSE129935
SRX277274,Non_plasma_B_cells,Non_plasma_B_cells,GSE46846
SRX3185015,CD4_T_cells,CD4_T_cells,GSE103844
SRX3049447,CD4_T_cells,CD4_T_cells,GSE102045
SRX3263497,Monocytes,Monocytes,GSE104744
SRX5162206,Monocytes,Monocytes,GSE124073
SRX375690,CD4_T_cells,CD4_T_cells,GSE52260
SRX3678126,CD4_T_cells,CD4_T_cells,GSE110417
SRX6404586,,CD8_T_cells,GSE133822
SRX1117129,Monocytes,Monocytes,GSE71247
SRX3263469,CD8_T_cells,CD8_T_cells,GSE104744
SRX5444140,,CD4_T_cells,GSE127457
SRX3399302,,PDC,GSE107011
SRX4453804,CD8_T_cells,CD8_T_cells,GSE117614
SRX2558447,T_helpers,CD4_T_cells,GSE94859
SRX2320883,CD4_T_cells,CD4_T_cells,GSE89404
SRX2965761,CD8_T_cells,CD8_T_cells,GSE100624
SRX5686025,CD4_T_cells,CD4_T_cells,GSE129829
SRX7106937,Tregs,CD4_T_cells,GSE140031
SRX2558459,T_helpers,CD4_T_cells,GSE94859
SRX4044602,CD4_T_cells,CD4_T_cells,GSE114065
SRX4505736,,CD4_T_cells,GSE118094
SRX6727425,,Monocytes,GSE135902
SRX2378888,CD4_T_cells,CD4_T_cells,GSE90569
SRX4559896,Neutrophils,Neutrophils,GSE118644
SRX3399220,gd_T_Cells,T_cells,GSE107011
SRX4044549,CD4_T_cells,CD4_T_cells,GSE114065
SRX5444155,,CD4_T_cells,GSE127457
SRX680562,Neutrophils,Neutrophils,GSE60424
SRX1950658,,CD8_T_cells,GSE84445
SRX3848479,Th1_cells,CD4_T_cells,GSE112341
SRX7052820,,Neutrophils,GSE139358
SRX3184968,CD4_T_cells,CD4_T_cells,GSE103844
SRX3601433,,NK_cells,PRJNA431160
SRX315144,,Granulocytes,GSE48305
SRX6680455,,CD8_T_cells,GSE135582
SRX2635638,T_helpers,CD4_T_cells,GSE96538
SRX7052850,,Neutrophils,GSE139358
SRX5423530,NK_cells,NK_cells,GSE127081
SRX2323839,NK_cells,NK_cells,GSE89484
SRX828380,Non_plasma_B_cells,Non_plasma_B_cells,GSE64655
SRX1903085,,Neutrophils,GSE84153
SRX4107912,CD4_T_cells,CD4_T_cells,GSE114716
SRX5624319,,T_cells,GSE129196
ERX2237271,Tregs,CD4_T_cells,E-MTAB-6158
SRX2271078,,CD4_T_cells,GSE89225
SRX5294194,NK_cells,NK_cells,GSE125686
SRX7052819,,Neutrophils,GSE139358
SRX4456919,CD4_T_cells,CD4_T_cells,GSE117655
SRX828425,NK_cells,NK_cells,GSE64655
SRX5162170,Monocytes,Monocytes,GSE124073
SRX5294209,NK_cells,NK_cells,GSE125686
SRX1903084,,Neutrophils,GSE84153
SRX2378879,CD4_T_cells,CD4_T_cells,GSE90569
SRX6404756,,Monocytes,GSE133822
SRX1871072,,CD8_T_cells,GSE83637
