cell,subsample,subsample_freq,colsample_bytree,reg_alpha,reg_lambda,learning_rate,max_depth,min_child_samples,num_leaves,n_estimators,n_jobs
CD8 SELL Naive,0.7816,5,0.742,0.4822,0.9331,0.0295,9,169,462,3900,4
CD83+ CLEC9A+ DC,0.7816,5,0.742,0.4822,0.9331,0.0295,9,169,462,3900,4
Resident Macrophage,0.7816,5,0.742,0.4822,0.9331,0.0295,9,169,462,3900,4
ILC3,0.7816,5,0.742,0.4822,0.9331,0.0295,9,169,462,3900,4
Proliferating T cells,0.7816,5,0.742,0.4822,0.9331,0.0295,9,169,462,3900,4
Post-capillary venules,0.7816,5,0.742,0.4822,0.9331,0.0295,9,169,462,3900,4
Enterocyte,0.7816,5,0.742,0.4822,0.9331,0.0295,9,169,462,3900,4
Proliferating myeloid,0.7816,5,0.742,0.4822,0.9331,0.0295,9,169,462,3900,4
Proliferating Stromal Cell,0.7816,5,0.742,0.4822,0.9331,0.0295,9,169,462,3900,4
CD4 Tph,0.7816,5,0.742,0.4822,0.9331,0.0295,9,169,462,3900,4
gd T cell 1,0.7816,5,0.742,0.4822,0.9331,0.0295,9,169,462,3900,4
Epithelial M Cell,0.7816,5,0.742,0.4822,0.9331,0.0295,9,169,462,3900,4
Epithelium,0.7816,5,0.742,0.4822,0.9331,0.0295,9,169,462,3900,4
Goblet Cell,0.7816,5,0.742,0.4822,0.9331,0.0295,9,169,462,3900,4
Glial Cell,0.7816,5,0.742,0.4822,0.9331,0.0295,9,169,462,3900,4
B_cell,0.7816,5,0.742,0.4822,0.9331,0.0295,9,169,462,3900,4
Fibroblast,0.7816,5,0.742,0.4822,0.9331,0.0295,9,169,462,3900,4
Epithelial Stem Cell,0.7816,5,0.742,0.4822,0.9331,0.0295,9,169,462,3900,4
Stroma,0.7816,5,0.742,0.4822,0.9331,0.0295,9,169,462,3900,4
CD83- CLEC9A+ DC,0.7816,5,0.742,0.4822,0.9331,0.0295,9,169,462,3900,4
CD8 IEL,0.7816,5,0.742,0.4822,0.9331,0.0295,9,169,462,3900,4
gd T cell 2,0.7816,5,0.742,0.4822,0.9331,0.0295,9,169,462,3900,4
Arterial Pericyte,0.7816,5,0.742,0.4822,0.9331,0.0295,9,169,462,3900,4
GC-like B cell,0.7816,5,0.742,0.4822,0.9331,0.0295,9,169,462,3900,4
Myofibroblast,0.7816,5,0.742,0.4822,0.9331,0.0295,9,169,462,3900,4
Inflammatory Fibroblast,0.7816,5,0.742,0.4822,0.9331,0.0295,9,169,462,3900,4
CD4 Treg,0.7816,5,0.742,0.4822,0.9331,0.0295,9,169,462,3900,4
T_cell,0.7816,5,0.742,0.4822,0.9331,0.0295,9,169,462,3900,4
CD4 SELL_naive,0.7816,5,0.742,0.4822,0.9331,0.0295,9,169,462,3900,4
Enteroendocrine Cell,0.7816,5,0.742,0.4822,0.9331,0.0295,9,169,462,3900,4
CD4 Tfh,0.7816,5,0.742,0.4822,0.9331,0.0295,9,169,462,3900,4
Epithelial Progenitor Cell,0.7816,5,0.742,0.4822,0.9331,0.0295,9,169,462,3900,4
Pericyte,0.7816,5,0.742,0.4822,0.9331,0.0295,9,169,462,3900,4
Smooth Muscle Cell,0.7816,5,0.742,0.4822,0.9331,0.0295,9,169,462,3900,4
Naive B cell,0.7816,5,0.742,0.4822,0.9331,0.0295,9,169,462,3900,4
Myeloid,0.7816,5,0.742,0.4822,0.9331,0.0295,9,169,462,3900,4
Plasma Cell,0.7816,5,0.742,0.4822,0.9331,0.0295,9,169,462,3900,4
CD4 TRM,0.7816,5,0.742,0.4822,0.9331,0.0295,9,169,462,3900,4
CD8 Effector,0.7816,5,0.742,0.4822,0.9331,0.0295,9,169,462,3900,4
Monocyte Inflammatory,0.7816,5,0.742,0.4822,0.9331,0.0295,9,169,462,3900,4
IL7R+ Activated DC,0.7816,5,0.742,0.4822,0.9331,0.0295,9,169,462,3900,4
Mast Cell,0.7816,5,0.742,0.4822,0.9331,0.0295,9,169,462,3900,4
MAIT,0.7816,5,0.742,0.4822,0.9331,0.0295,9,169,462,3900,4
Blood Endothelial Cell,0.7816,5,0.742,0.4822,0.9331,0.0295,9,169,462,3900,4
Memory B cell,0.7816,5,0.742,0.4822,0.9331,0.0295,9,169,462,3900,4
Plasmablast,0.7816,5,0.742,0.4822,0.9331,0.0295,9,169,462,3900,4
